Output data for Rhombohedral II structure, Space-Group Number between 143 and 148: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C15(GPa)       C33(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
400.0000       5.9442         28.0000        5.8290         585.6069       244.7649       198.5746       -8.2957        36.1251        484.1492       147.3695       326.5768       321.7535       324.1651       160.5953       152.2772       156.4362       413.9345       394.5830       404.2765       0.2921         0.4826         13.3868        0.0266         0.2881         9.5601         7.4574         300.4456       
400.0000       5.9251         29.0000        5.8478         590.4739       248.1621       202.3787       -8.0228        36.4874        488.1798       148.8047       330.5518       325.7058       328.1288       161.5003       153.1933       157.3468       416.6461       397.2922       406.9866       0.2933         0.4795         13.3209        0.0264         0.2860         9.5910         7.4908         301.2000       
400.0000       5.9060         30.0000        5.8667         595.3011       251.5612       206.1715       -7.7490        36.8402        492.1492       150.2110       334.5067       329.6350       332.0708       162.3815       154.0827       158.2321       419.2973       399.9337       409.6328       0.2944         0.4765         13.2537        0.0262         0.2841         9.6211         7.5235         301.9264       
500.0000       6.6679         0.0000         5.1964         426.7280       148.8676       85.2456        -15.7700       20.7683        341.1813       92.7979        203.7061       198.3137       201.0099       123.2571       111.9300       117.5936       307.7091       282.6191       295.2128       0.2552         0.5850         14.3696        0.0482         0.5332         8.2980         6.2196         264.3344       
500.0000       6.6357         1.0000         5.2215         432.9088       152.2395       89.4077        -15.5221       21.4267        347.0884       95.1196        208.3351       203.0073       205.6712       124.9049       113.8670       119.3860       312.3022       287.7933       300.0929       0.2568         0.5805         14.3648        0.0462         0.5109         8.3591         6.2761         266.1771       
500.0000       6.6036         2.0000         5.2469         439.0405       155.6116       93.5562        -15.2734       22.0741        352.9267       97.4088        212.9395       207.6726       210.3060       126.5253       115.7550       121.1402       316.8251       292.8537       304.8814       0.2584         0.5760         14.3566        0.0445         0.4906         8.4182         6.3310         267.9587       
500.0000       6.5716         3.0000         5.2725         445.1238       158.9842       97.6912        -15.0238       22.7104        358.6968       99.6657        217.5197       212.3097       214.9147       128.1187       117.5959       122.8573       321.2787       297.8041       309.5807       0.2599         0.5717         14.3451        0.0428         0.4720         8.4753         6.3845         269.6816       
500.0000       6.5396         4.0000         5.2983         451.1592       162.3573       101.8129       -14.7735       23.3360        364.3992       101.8905       222.0760       216.9192       219.4976       129.6854       119.3911       124.5382       325.6636       302.6481       314.1927       0.2614         0.5674         14.3306        0.0413         0.4549         8.5304         6.4365         271.3483       
500.0000       6.5076         5.0000         5.3243         457.1474       165.7310       105.9214       -14.5223       23.9507        370.0342       104.0834       226.6085       221.5014       224.0550       131.2254       121.1424       126.1839       329.9806       307.3887       318.7193       0.2629         0.5632         14.3132        0.0400         0.4392         8.5838         6.4870         272.9608       
500.0000       6.4789         6.0000         5.3479         463.0910       169.1060       110.0178       -14.2702       24.5553        375.6041       106.2457       231.1188       226.0577       228.5883       132.7397       122.8519       127.7958       334.2321       312.0308       323.1641       0.2644         0.5591         14.2931        0.0387         0.4248         8.6375         6.5379         274.5444       
500.0000       6.4503         7.0000         5.3716         468.9883       172.4818       114.1011       -14.0173       25.1492        381.1075       108.3764       235.6058       230.5873       233.0966       134.2279       124.5200       129.3739       338.4167       316.5751       327.5268       0.2658         0.5550         14.2705        0.0375         0.4116         8.6895         6.5874         276.0779       
500.0000       6.4217         8.0000         5.3956         474.8396       175.8585       118.1717       -13.7636       25.7326        386.5447       110.4759       240.0697       235.0905       237.5801       135.6900       126.1479       130.9189       342.5350       321.0241       331.8089       0.2672         0.5511         14.2453        0.0364         0.3994         8.7398         6.6357         277.5631       
500.0000       6.3931         9.0000         5.4197         480.6455       179.2361       122.2295       -13.5090       26.3056        391.9160       112.5443       244.5108       239.5676       242.0392       137.1261       127.7369       132.4315       346.5875       325.3801       336.0117       0.2686         0.5471         14.2178        0.0354         0.3882         8.7886         6.6827         279.0012       
500.0000       6.3645         10.0000        5.4440         486.4063       182.6148       126.2747       -13.2536       26.8681        397.2218       114.5818       248.9292       244.0187       246.4740       138.5365       129.2879       133.9122       350.5745       329.6452       340.1365       0.2700         0.5433         14.1881        0.0345         0.3778         8.8358         6.7286         280.3941       
500.0000       6.3397         11.0000        5.4654         492.1246       185.9952       130.3084       -12.9972       27.4209        402.4643       116.5894       253.3264       248.4454       250.8859       139.9221       130.8025       135.3623       354.4986       333.8233       344.1865       0.2714         0.5395         14.1562        0.0337         0.3682         8.8841         6.7753         281.7706       
500.0000       6.3149         12.0000        5.4868         497.7985       189.3767       134.3295       -12.7401       27.9634        407.6418       118.5663       257.7012       252.8465       255.2739       141.2822       132.2809       136.7816       358.3579       337.9143       348.1606       0.2727         0.5358         14.1223        0.0329         0.3594         8.9310         6.8209         283.1048       
500.0000       6.2901         13.0000        5.5085         503.4283       192.7594       138.3383       -12.4821       28.4956        412.7545       120.5127       262.0537       257.2224       259.6381       142.6170       133.7240       138.1705       362.1530       341.9199       352.0600       0.2740         0.5322         14.0863        0.0322         0.3513         8.9766         6.8655         284.3975       
500.0000       6.2653         14.0000        5.5302         509.0144       196.1434       142.3349       -12.2232       29.0177        417.8028       122.4286       266.3842       261.5732       263.9787       143.9264       135.1324       139.5294       365.8840       345.8417       355.8856       0.2753         0.5286         14.0484        0.0315         0.3438         9.0208         6.9090         285.6502       
500.0000       6.2406         15.0000        5.5521         514.5569       199.5286       146.3192       -11.9635       29.5296        422.7869       124.3143       270.6928       265.8991       268.2959       145.2108       136.5070       140.8589       369.5515       349.6813       359.6384       0.2766         0.5250         14.0086        0.0309         0.3368         9.0637         6.9515         286.8638       
500.0000       6.2173         16.0000        5.5730         520.0570       202.9155       150.2917       -11.7029       30.0316        427.7076       126.1701       274.9799       270.2006       272.5903       146.4704       137.8485       142.1595       373.1562       353.4405       363.3197       0.2779         0.5215         13.9670        0.0303         0.3304         9.1063         6.9938         288.0499       
500.0000       6.1940         17.0000        5.5939         525.5142       206.3037       154.2522       -11.4415       30.5236        432.5646       127.9958       279.2454       274.4775       276.8615       147.7051       139.1574       143.4312       376.6979       357.1202       366.9297       0.2791         0.5181         13.9236        0.0298         0.3245         9.1477         7.0351         289.1989       
500.0000       6.1707         18.0000        5.6150         530.9287       209.6934       158.2006       -11.1792       31.0056        437.3580       129.7916       283.4894       278.7299       281.1097       148.9149       140.4343       144.6746       380.1767       360.7214       370.4692       0.2804         0.5147         13.8785        0.0293         0.3190         9.1879         7.0756         290.3117       
500.0000       6.1474         19.0000        5.6363         536.3007       213.0845       162.1370       -10.9161       31.4777        442.0880       131.5575       287.7118       282.9580       285.3349       150.1000       141.6797       145.8899       383.5929       364.2455       373.9388       0.2816         0.5113         13.8317        0.0289         0.3140         9.2270         7.1151         291.3889       
500.0000       6.1242         20.0000        5.6577         541.6305       216.4772       166.0616       -10.6522       31.9398        446.7549       133.2936       291.9130       287.1620       289.5375       151.2605       142.8941       147.0773       386.9467       367.6934       377.3392       0.2828         0.5080         13.7833        0.0284         0.3093         9.2649         7.1538         292.4316       
500.0000       6.1022         21.0000        5.6781         546.9189       219.8716       169.9746       -10.3873       32.3922        451.3592       135.0003       296.0932       291.3421       293.7177       152.3966       144.0783       148.2374       390.2389       371.0666       380.6715       0.2840         0.5047         13.7333        0.0281         0.3050         9.3026         7.1923         293.4502       
500.0000       6.0802         22.0000        5.6986         552.1655       223.2675       173.8759       -10.1216       32.8348        455.9007       136.6774       300.2522       295.4983       297.8753       153.5082       145.2323       149.3703       393.4691       374.3656       383.9357       0.2852         0.5015         13.6818        0.0277         0.3010         9.3392         7.2299         294.4356       
500.0000       6.0583         23.0000        5.7192         557.3705       226.6651       177.7653       -9.8550        33.2675        460.3795       138.3249       304.3902       299.6306       302.0104       154.5955       146.3568       150.4761       396.6376       377.5912       387.1324       0.2864         0.4982         13.6288        0.0274         0.2973         9.3748         7.2668         295.3884       
500.0000       6.0363         24.0000        5.7400         562.5341       230.0644       181.6431       -9.5876        33.6904        464.7958       139.9430       308.5072       303.7391       306.1232       155.6584       147.4520       151.5552       399.7444       380.7444       390.2621       0.2875         0.4951         13.5742        0.0271         0.2940         9.4093         7.3028         296.3094       
500.0000       6.0144         25.0000        5.7609         567.6565       233.4653       185.5092       -9.3194        34.1036        469.1498       141.5317       312.6034       307.8239       310.2136       156.6971       148.5184       152.6077       402.7898       383.8259       393.3252       0.2887         0.4919         13.5182        0.0268         0.2909         9.4429         7.3381         297.1990       
500.0000       5.9949         26.0000        5.7797         572.7389       236.8683       189.3642       -9.0502        34.5074        473.4423       143.0916       316.6793       311.8857       314.2825       157.7119       149.5566       153.6342       405.7747       386.8372       396.3230       0.2898         0.4888         13.4608        0.0265         0.2880         9.4773         7.3741         298.0779       
500.0000       5.9754         27.0000        5.7986         577.7803       240.2731       193.2077       -8.7802        34.9014        477.6728       144.6222       320.7345       315.9239       318.3292       158.7026       150.5666       154.6346       408.6985       389.7782       399.2552       0.2910         0.4858         13.4020        0.0263         0.2854         9.5108         7.4093         298.9269       
500.0000       5.9559         28.0000        5.8176         582.7810       243.6796       197.0396       -8.5093        35.2858        481.8412       146.1236       324.7690       319.9386       322.3538       159.6692       151.5488       155.6090       411.5611       392.6495       402.1219       0.2921         0.4827         13.3419        0.0261         0.2830         9.5433         7.4438         299.7462       
500.0000       5.9364         29.0000        5.8366         587.7411       247.0879       200.8600       -8.2376        35.6605        485.9478       147.5960       328.7829       323.9298       326.3563       160.6119       152.5035       156.5577       414.3629       395.4519       404.9238       0.2932         0.4797         13.2803        0.0259         0.2808         9.5749         7.4776         300.5365       
500.0000       5.9169         30.0000        5.8559         592.6608       250.4980       204.6689       -7.9650        36.0256        489.9927       149.0392       332.7762       327.8977       330.3369       161.5305       153.4309       157.4807       417.1038       398.1858       407.6610       0.2943         0.4767         13.2175        0.0257         0.2788         9.6057         7.5108         301.2982       
600.0000       6.6922         0.0000         5.1775         420.8488       147.3823       83.1251        -15.9565       19.5011        336.3808       90.3267        200.5937       195.1832       197.8884       121.1071       109.7722       115.4396       302.4532       277.3266       289.9395       0.2558         0.5834         14.1258        0.0491         0.5440         8.2431         6.1823         262.0790       
600.0000       6.6595         1.0000         5.2029         427.1591       150.7721       87.3135        -15.7094       20.1783        342.3937       92.7006        205.2789       199.9340       202.6065       122.8065       111.7808       117.2937       307.1662       282.6644       294.9610       0.2574         0.5789         14.1326        0.0470         0.5199         8.3066         6.2403         264.0084       
600.0000       6.6269         2.0000         5.2285         433.4180       154.1618       91.4876        -15.4615       20.8440        348.3358       95.0410        209.9384       204.6552       207.2968       124.4777       113.7376       119.1077       311.8070       287.8824       299.8870       0.2589         0.5746         14.1353        0.0451         0.4980         8.3679         6.2966         265.8727       
600.0000       6.5943         3.0000         5.2543         439.6262       157.5515       95.6476        -15.2128       21.4984        354.2079       97.3481        214.5726       209.3472       211.9599       126.1209       115.6447       120.8828       316.3765       292.9851       304.7201       0.2604         0.5703         14.1342        0.0433         0.4779         8.4270         6.3514         267.6747       
600.0000       6.5618         4.0000         5.2804         445.7844       160.9413       99.7937        -14.9633       22.1415        360.0104       99.6222        219.1819       214.0104       216.5961       127.7366       117.5039       122.6202       320.8756       297.9763       309.4626       0.2619         0.5661         14.1295        0.0417         0.4596         8.4842         6.4046         269.4170       
600.0000       6.5293         5.0000         5.3066         451.8934       164.3314       103.9262       -14.7131       22.7735        365.7440       101.8637       223.7665       218.6453       221.2059       129.3248       119.3169       124.3209       325.3050       302.8596       314.1166       0.2633         0.5620         14.1215        0.0403         0.4428         8.5394         6.4564         271.1020       
600.0000       6.5002         6.0000         5.3304         457.9562       167.7225       108.0460       -14.4619       23.3951        371.4113       104.0739       228.3281       223.2537       225.7909       130.8869       121.0863       125.9866       329.6677       307.6405       318.6863       0.2648         0.5580         14.1105        0.0389         0.4274         8.5949         6.5084         272.7552       
600.0000       6.4710         7.0000         5.3544         463.9709       171.1141       112.1524       -14.2099       24.0057        377.0105       106.2518       232.8655       227.8343       230.3499       132.4220       122.8125       127.6173       333.9620       312.3197       323.1712       0.2662         0.5540         14.0965        0.0376         0.4133         8.6486         6.5590         274.3557       
600.0000       6.4419         8.0000         5.3786         469.9379       174.5062       116.2455       -13.9571       24.6055        382.5421       108.3978       237.3791       232.3877       234.8834       133.9303       124.4970       129.2136       338.1885       316.9000       327.5730       0.2676         0.5501         14.0796        0.0365         0.4003         8.7006         6.6083         275.9052       
600.0000       6.4128         9.0000         5.4030         475.8577       177.8989       120.3254       -13.7035       25.1945        388.0065       110.5119       241.8691       236.9141       239.3916       135.4121       126.1408       130.7765       342.3478       321.3839       331.8931       0.2689         0.5463         14.0601        0.0354         0.3884         8.7510         6.6564         277.4054       
600.0000       6.3838         10.0000        5.4275         481.7309       181.2924       124.3923       -13.4490       25.7729        393.4041       112.5945       246.3356       241.4138       243.8747       136.8676       127.7452       132.3064       346.4403       325.7740       336.1331       0.2703         0.5425         14.0380        0.0345         0.3774         8.7997         6.7032         278.8582       
600.0000       6.3585         11.0000        5.4492         487.5606       184.6874       128.4474       -13.1937       26.3413        398.7374       114.6468       250.7803       245.8885       248.3344       138.2978       129.3121       133.8049       350.4690       330.0745       340.2965       0.2716         0.5388         14.0136        0.0336         0.3673         8.8495         6.7508         280.2925       
600.0000       6.3333         12.0000        5.4709         493.3444       188.0833       132.4896       -12.9375       26.8991        404.0046       116.6678       255.2021       250.3370       252.7695       139.7020       130.8415       135.2718       354.4319       334.2853       344.3822       0.2729         0.5352         13.9868        0.0328         0.3580         8.8978         6.7973         281.6826       
600.0000       6.3080         13.0000        5.4928         499.0827       191.4801       136.5191       -12.6805       27.4465        409.2059       118.6577       259.6009       254.7595       257.1802       141.0802       132.3344       136.7073       358.3293       338.4081       348.3914       0.2742         0.5316         13.9577        0.0320         0.3494         8.9446         6.8426         283.0296       
600.0000       6.2828         14.0000        5.5148         504.7759       194.8779       140.5359       -12.4226       27.9835        414.3417       120.6167       263.9770       259.1562       261.5666       142.4327       133.7916       138.1122       362.1616       342.4449       352.3251       0.2755         0.5280         13.9264        0.0313         0.3415         8.9901         6.8869         284.3348       
600.0000       6.2577         15.0000        5.5370         510.4244       198.2768       144.5401       -12.1640       28.5101        419.4123       122.5448       268.3306       263.5274       265.9290       143.7596       135.2139       139.4868       365.9293       346.3972       356.1843       0.2768         0.5245         13.8931        0.0306         0.3342         9.0342         6.9302         285.5993       
600.0000       6.2339         16.0000        5.5581         516.0294       201.6771       148.5323       -11.9044       29.0266        424.4186       124.4426       272.6623       267.8737       270.2680       145.0613       136.6023       140.8318       369.6335       350.2673       359.9707       0.2780         0.5211         13.8578        0.0300         0.3275         9.0780         6.9732         286.8349       
600.0000       6.2102         17.0000        5.5793         521.5903       205.0785       152.5120       -11.6440       29.5329        429.3603       126.3099       276.9718       272.1949       274.5833       146.3377       137.9572       142.1475       373.2736       354.0560       363.6845       0.2793         0.5177         13.8205        0.0295         0.3213         9.1205         7.0153         288.0321       
600.0000       6.1865         18.0000        5.6007         527.1074       208.4811       156.4795       -11.3828       30.0290        434.2374       128.1468       281.2591       276.4910       278.8751       147.5888       139.2792       143.4340       376.8500       357.7645       367.3264       0.2805         0.5143         13.7813        0.0290         0.3156         9.1618         7.0564         289.1916       
600.0000       6.1628         19.0000        5.6222         532.5810       211.8850       160.4347       -11.1208       30.5149        439.0503       129.9534       285.5245       280.7622       283.1434       148.8148       140.5690       144.6919       380.3630       361.3941       370.8971       0.2817         0.5110         13.7403        0.0285         0.3103         9.2019         7.0966         290.3144       
600.0000       6.1391         20.0000        5.6439         538.0113       215.2902       164.3777       -10.8579       30.9908        443.7993       131.7297       289.7681       285.0088       287.3885       150.0158       141.8271       145.9214       383.8128       364.9460       374.3975       0.2829         0.5077         13.6974        0.0281         0.3054         9.2409         7.1358         291.4015       
600.0000       6.1167         21.0000        5.6646         543.3995       218.6970       168.3089       -10.5942       31.4567        448.4850       133.4763       293.9904       289.2312       291.6108       151.1921       143.0542       147.1231       387.2003       368.4219       377.8288       0.2841         0.5045         13.6529        0.0277         0.3009         9.2795         7.1749         292.4634       
600.0000       6.0944         22.0000        5.6854         548.7449       222.1052       172.2280       -10.3296       31.9127        453.1072       135.1929       298.1910       293.4292       295.8101       152.3435       144.2506       148.2971       390.5251       371.8222       381.1910       0.2852         0.5013         13.6067        0.0273         0.2967         9.3171         7.2132         293.4911       
600.0000       6.0720         23.0000        5.7063         554.0478       225.5149       176.1351       -10.0642       32.3587        457.6659       136.8796       302.3702       297.6028       299.9865       153.4703       145.4168       149.4435       393.7875       375.1479       384.4846       0.2864         0.4982         13.5588        0.0269         0.2929         9.3536         7.2506         294.4853       
600.0000       6.0496         24.0000        5.7274         559.3085       228.9260       180.0303       -9.7979        32.7947        462.1615       138.5366       306.5280       301.7522       304.1401       154.5723       146.5532       150.5628       396.9876       378.3999       387.7104       0.2875         0.4950         13.5093        0.0266         0.2894         9.3890         7.2872         295.4466       
600.0000       6.0273         25.0000        5.7486         564.5272       232.3386       183.9136       -9.5308        33.2208        466.5941       140.1638       310.6645       305.8775       308.2710       155.6499       147.6602       151.6551       400.1257       381.5792       390.8687       0.2887         0.4920         13.4582        0.0263         0.2862         9.4234         7.3229         296.3759       
600.0000       6.0074         26.0000        5.7677         569.7053       235.7532       187.7857       -9.2628        33.6374        470.9648       141.7619       314.7805       309.9795       312.3800       156.7034       148.7386       152.7210       403.2029       384.6873       393.9611       0.2898         0.4889         13.4056        0.0261         0.2832         9.4586         7.3594         297.2934       
600.0000       5.9875         27.0000        5.7868         574.8417       239.1694       191.6460       -8.9940        34.0441        475.2728       143.3305       318.8754       314.0576       316.4665       157.7324       149.7884       153.7604       406.2184       387.7241       396.9871       0.2909         0.4859         13.3515        0.0258         0.2805         9.4929         7.3951         298.1803       
600.0000       5.9676         28.0000        5.8061         579.9367       242.5872       195.4945       -8.7243        34.4410        479.5182       144.8696       322.9493       318.1118       320.5306       158.7372       150.8099       154.7735       409.1722       390.6904       399.9469       0.2920         0.4829         13.2960        0.0256         0.2780         9.5262         7.4301         299.0367       
600.0000       5.9478         29.0000        5.8255         584.9904       246.0066       199.3313       -8.4537        34.8281        483.7012       146.3793       327.0023       322.1423       324.5723       159.7176       151.8034       155.7605       412.0647       393.5868       402.8411       0.2931         0.4799         13.2390        0.0254         0.2758         9.5586         7.4643         299.8635       
600.0000       5.9279         30.0000        5.8450         590.0031       249.4277       203.1564       -8.1824        35.2055        487.8220       147.8597       331.0344       326.1490       328.5917       160.6739       152.7693       156.7216       414.8959       396.4140       405.6701       0.2942         0.4769         13.1805        0.0252         0.2737         9.5900         7.4978         300.6609       
700.0000       6.7165         0.0000         5.1587         414.9517       145.8923       80.9981        -16.1436       18.2300        331.5656       87.8480        197.4718       192.0428       194.7573       118.9505       107.5816       113.2660       297.1809       271.9609       284.6218       0.2564         0.5816         13.8759        0.0502         0.5567         8.1871         6.1443         259.7764       
700.0000       6.6833         1.0000         5.1844         421.3918       149.3002       85.2128        -15.8973       18.9260        337.6844       90.2741        202.2133       196.8509       199.5321       120.7016       109.6640       115.1828       302.0139       277.4671       289.7871       0.2579         0.5773         13.8947        0.0479         0.5305         8.2529         6.2038         261.7959       
700.0000       6.6502         2.0000         5.2102         427.7780       152.7074       89.4125        -15.6503       19.6101        343.7306       92.6657        206.9279       201.6281       204.2780       122.4236       111.6916       117.0576       306.7728       282.8471       294.8529       0.2594         0.5730         13.9088        0.0458         0.5067         8.3164         6.2616         263.7459       
700.0000       6.6171         3.0000         5.2362         434.1114       156.1143       93.5976        -15.4024       20.2825        349.7048       95.0232        211.6163       206.3751       208.9957       124.1169       113.6666       118.8917       311.4585       288.1058       299.8218       0.2609         0.5689         13.9185        0.0439         0.4851         8.3778         6.3177         265.6298       
700.0000       6.5841         4.0000         5.2625         440.3926       159.5208       97.7682        -15.1538       20.9432        355.6078       97.3468        216.2786       211.0921       213.6854       125.7816       115.5913       120.6865       316.0720       293.2477       304.6966       0.2623         0.5648         13.9241        0.0422         0.4654         8.4370         6.3722         267.4503       
700.0000       6.5511         5.0000         5.2890         446.6225       162.9273       101.9245       -14.9044       21.5925        361.4401       99.6369        220.9153       215.7798       218.3476       127.4182       117.4676       122.4429       320.6140       298.2768       309.4797       0.2638         0.5608         13.9258        0.0406         0.4473         8.4942         6.4252         269.2101       
700.0000       6.5214         6.0000         5.3130         452.8048       166.3345       106.0679       -14.6542       22.2311        367.2049       101.8951       225.5283       220.4403       222.9843       129.0280       119.2982       124.1631       325.0882       303.1994       314.1758       0.2652         0.5568         13.9241        0.0392         0.4309         8.5515         6.4784         270.9350       
700.0000       6.4918         7.0000         5.3373         458.9371       169.7419       110.1973       -14.4031       22.8584        372.9001       104.1203       230.1164       225.0721       227.5942       130.6102       121.0838       125.8470       329.4924       308.0161       318.7843       0.2666         0.5529         13.9190        0.0378         0.4158         8.6070         6.5301         272.6043       
700.0000       6.4622         8.0000         5.3617         465.0200       173.1494       114.3130       -14.1512       23.4746        378.5263       106.3128       234.6797       229.6758       232.1777       132.1649       122.8258       127.4953       333.8274       312.7301       323.3070       0.2679         0.5491         13.9107        0.0366         0.4020         8.6607         6.5805         274.2200       
700.0000       6.4327         9.0000         5.3863         471.0541       176.5573       118.4151       -13.8986       24.0798        384.0840       108.4728       239.2186       234.2516       236.7351       133.6925       124.5255       129.1090       338.0937       317.3443       327.7457       0.2693         0.5454         13.8994        0.0355         0.3893         8.7127         6.6296         275.7840       
700.0000       6.4032         10.0000        5.4111         477.0400       179.9656       122.5036       -13.6451       24.6740        389.5735       110.6006       243.7332       238.7999       241.2666       135.1931       126.1843       130.6887       342.2921       321.8613       332.1020       0.2706         0.5417         13.8852        0.0345         0.3776         8.7630         6.6774         277.2982       
700.0000       6.3775         11.0000        5.4330         482.9812       183.3753       126.5802       -13.3907       25.2580        394.9980       112.6977       248.2257       243.3228       245.7743       136.6680       127.8043       132.2362       346.4257       326.2861       336.3799       0.2719         0.5380         13.8683        0.0335         0.3669         8.8142         6.7259         278.7919       
700.0000       6.3517         12.0000        5.4550         488.8752       186.7855       130.6434       -13.1355       25.8313        400.3551       114.7629       252.6945       247.8187       250.2566       138.1163       129.3856       133.7510       350.4923       330.6184       340.5782       0.2732         0.5345         13.8488        0.0326         0.3571         8.8639         6.7732         280.2393       
700.0000       6.3260         13.0000        5.4771         494.7223       190.1965       134.6935       -12.8795       26.3938        405.6452       116.7964       257.1396       252.2879       254.7138       139.5382       130.9291       135.2336       354.4923       334.8601       344.6981       0.2745         0.5309         13.8268        0.0318         0.3480         8.9121         6.8194         281.6417       
700.0000       6.3004         14.0000        5.4994         500.5229       193.6082       138.7306       -12.6227       26.9457        410.8687       118.7985       261.5615       256.7307       259.1461       140.9339       132.4357       136.6848       358.4262       339.0133       348.7407       0.2757         0.5274         13.8024        0.0311         0.3397         8.9589         6.8646         283.0005       
700.0000       6.2748         15.0000        5.5219         506.2776       197.0206       142.7548       -12.3651       27.4870        416.0260       120.7692       265.9602       261.1474       263.5538       142.3034       133.9064       138.1049       362.2944       343.0798       352.7073       0.2770         0.5240         13.7757        0.0304         0.3320         9.0042         6.9086         284.3171       
700.0000       6.2506         16.0000        5.5432         511.9877       200.4343       146.7667       -12.1066       28.0181        421.1181       122.7091       270.3366       265.5386       267.9376       143.6474       135.3423       139.4948       366.0982       347.0621       356.5997       0.2782         0.5206         13.7467        0.0298         0.3249         9.0493         6.9524         285.6032       
700.0000       6.2264         17.0000        5.5648         517.6526       203.8489       150.7658       -11.8473       28.5387        426.1447       124.6181       274.6901       269.9041       272.2971       144.9656       136.7437       140.8546       369.8371       350.9610       360.4179       0.2794         0.5173         13.7156        0.0292         0.3184         9.0929         6.9952         286.8494       
700.0000       6.2023         18.0000        5.5864         523.2726       207.2646       154.7523       -11.5872       29.0489        431.1058       126.4962       279.0210       274.2440       276.6325       146.2581       138.1114       142.1847       373.5114       354.7779       364.1629       0.2806         0.5140         13.6825        0.0286         0.3124         9.1354         7.0370         288.0566       
700.0000       6.1782         19.0000        5.6082         528.8480       210.6812       158.7262       -11.3262       29.5488        436.0019       128.3435       283.3295       278.5585       280.9440       147.5250       139.4460       143.4855       377.1214       358.5142       367.8355       0.2818         0.5107         13.6473        0.0282         0.3068         9.1765         7.0778         289.2259       
700.0000       6.1542         20.0000        5.6301         534.3792       214.0990       162.6877       -11.0645       30.0383        440.8331       130.1603       287.6156       282.8479       285.2317       148.7666       140.7482       144.7574       380.6675       362.1712       371.4365       0.2830         0.5075         13.6101        0.0277         0.3017         9.2165         7.1177         290.3582       
700.0000       6.1313         21.0000        5.6511         539.8674       217.5182       166.6371       -10.8018       30.5179        445.6005       131.9469       291.8800       287.1126       289.4963       149.9832       142.0187       146.0010       384.1507       365.7507       374.9674       0.2841         0.5043         13.5711        0.0273         0.2970         9.2562         7.1574         291.4642       
700.0000       6.1085         22.0000        5.6722         545.3119       220.9387       170.5742       -10.5384       30.9873        450.3036       133.7031       296.1224       291.3525       293.7374       151.1746       143.2579       147.2163       387.5704       369.2532       378.4282       0.2853         0.5012         13.5303        0.0269         0.2927         9.2947         7.1962         292.5349       
700.0000       6.0858         23.0000        5.6934         550.7130       224.3604       174.4990       -10.2741       31.4465        454.9425       135.4291       300.3428       295.5675       297.9552       152.3409       144.4663       148.4036       390.9270       372.6799       381.8194       0.2864         0.4981         13.4876        0.0265         0.2887         9.3321         7.2342         293.5710       
700.0000       6.0630         24.0000        5.7147         556.0711       227.7834       178.4117       -10.0090       31.8956        459.5176       137.1250       304.5415       299.7580       302.1497       153.4823       145.6443       149.5633       394.2207       376.0316       385.1418       0.2876         0.4950         13.4433        0.0262         0.2850         9.3684         7.2713         294.5734       
700.0000       6.0403         25.0000        5.7362         561.3864       231.2077       182.3122       -9.7431        32.3347        464.0290       138.7908       308.7184       303.9239       306.3212       154.5988       146.7923       150.6956       397.4517       379.3094       388.3959       0.2887         0.4920         13.3972        0.0259         0.2817         9.4037         7.3076         295.5428       
700.0000       6.0200         26.0000        5.7556         566.6605       234.6340       186.2013       -9.4762        32.7641        468.4781       140.4274       312.8747       308.0663       310.4705       155.6911       147.9113       151.8012       400.6215       382.5152       391.5834       0.2898         0.4889         13.3495        0.0256         0.2786         9.4397         7.3445         296.4995       
700.0000       5.9997         27.0000        5.7751         571.8922       238.0616       190.0785       -9.2086        33.1836        472.8639       142.0340       317.0095       312.1844       314.5969       156.7587       149.0011       152.8799       403.7290       385.6486       394.7037       0.2909         0.4860         13.3002        0.0254         0.2758         9.4748         7.3807         297.4248       
700.0000       5.9794         28.0000        5.7946         577.0818       241.4907       193.9436       -8.9401        33.5931        477.1865       143.6109       321.1229       316.2782       318.7006       157.8016       150.0622       153.9319       406.7744       388.7105       397.7571       0.2920         0.4830         13.2493        0.0251         0.2732         9.5089         7.4161         298.3189       
700.0000       5.9592         29.0000        5.8143         582.2295       244.9213       197.7968       -8.6707        33.9927        481.4462       145.1581       325.2150       320.3480       322.7815       158.8201       151.0949       154.9575       409.7579       391.7017       400.7442       0.2931         0.4801         13.1968        0.0249         0.2708         9.5420         7.4508         299.1826       
700.0000       5.9389         30.0000        5.8342         587.3354       248.3535       201.6382       -8.4006        34.3824        485.6431       146.6758       329.2860       324.3936       326.8398       159.8141       152.0996       155.9569       412.6797       394.6227       403.6654       0.2942         0.4772         13.1429        0.0247         0.2687         9.5741         7.4848         300.0163       
