Output data for Rhombohedral II structure, Space-Group Number between 143 and 148: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C15(GPa)       C33(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         6.1065         18.0000        5.6741         546.4742       214.6250       165.2022       -10.3510       34.9788        450.0528       136.4829       292.5622       287.8373       290.1998       154.3095       145.0499       149.6797       393.7090       372.5672       383.1630       0.2799         0.5158         14.2618        0.0309         0.3356         9.2907         7.1516         294.7615       
0.0000         6.0850         19.0000        5.6942         551.4237       217.9613       169.0584       -10.0839       35.3919        454.4380       138.0793       296.6046       291.8845       294.2446       155.3251       146.1155       150.7203       396.7237       375.6620       386.2173       0.2812         0.5122         14.1923        0.0306         0.3313         9.3256         7.1885         295.6575       
0.0000         6.0634         20.0000        5.7143         556.3360       221.3000       172.9040       -9.8160        35.7960        458.7640       139.6480       300.6280       295.9099       298.2690       156.3180       147.1532       151.7356       399.6799       378.6871       389.2075       0.2825         0.5087         14.1217        0.0302         0.3273         9.3595         7.2247         296.5234       
0.0000         6.0432         21.0000        5.7335         561.2109       224.6413       176.7392       -9.5471        36.1911        463.0308       141.1889       304.6324       299.9136       302.2730       157.2881       148.1632       152.7256       402.5778       381.6431       392.1340       0.2838         0.5053         14.0501        0.0299         0.3237         9.3934         7.2609         297.3696       
0.0000         6.0229         22.0000        5.7528         566.0486       227.9850       180.5638       -9.2774        36.5772        467.2384       142.7021       308.6179       303.8955       306.2567       158.2354       149.1458       153.6906       405.4173       384.5307       394.9971       0.2850         0.5018         13.9776        0.0296         0.3203         9.4264         7.2963         298.1867       
0.0000         6.0026         23.0000        5.7723         570.8489       231.3313       184.3780       -9.0067        36.9542        471.3869       144.1875       312.5844       307.8557       310.2200       159.1599       150.1013       154.6306       408.1984       387.3503       397.7971       0.2863         0.4985         13.9040        0.0293         0.3171         9.4584         7.3310         298.9750       
0.0000         5.9823         24.0000        5.7919         575.6118       234.6800       188.1818       -8.7350        37.3222        475.4762       145.6451       316.5319       311.7941       314.1630       160.0617       151.0299       155.5458       410.9211       390.1025       400.5343       0.2875         0.4951         13.8294        0.0290         0.3142         9.4895         7.3649         299.7351       
0.0000         5.9620         25.0000        5.8116         580.3375       238.0312       191.9750       -8.4625        37.6812        479.5063       147.0750       320.4604       315.7108       318.0856       160.9406       151.9320       156.4363       413.5854       392.7878       403.2088       0.2887         0.4918         13.7539        0.0288         0.3115         9.5197         7.3982         300.4674       
0.0000         5.9441         26.0000        5.8291         585.0258       241.3850       195.7578       -8.1890        38.0312        483.4772       148.4771       324.3700       319.6057       321.9879       161.7968       152.8076       157.3022       416.1913       395.4066       405.8208       0.2899         0.4885         13.6774        0.0286         0.3090         9.5509         7.4322         301.1923       
0.0000         5.9262         27.0000        5.8467         589.6769       244.7413       199.5300       -7.9147        38.3722        487.3889       149.8515       328.2606       323.4789       325.8697       162.6302       153.6571       158.1437       418.7388       397.9593       408.3707       0.2911         0.4853         13.5999        0.0284         0.3068         9.5813         7.4657         301.8903       
0.0000         5.9083         28.0000        5.8644         594.2906       248.1000       203.2918       -7.6394        38.7042        491.2414       151.1981       332.1322       327.3303       329.7312       163.4409       154.4807       158.9608       421.2278       400.4464       410.8585       0.2923         0.4821         13.5214        0.0282         0.3047         9.6108         7.4984         302.5616       
0.0000         5.8904         29.0000        5.8822         598.8669       251.4613       207.0432       -7.3631        39.0271        495.0348       152.5169       335.9849       331.1598       333.5723       164.2287       155.2785       159.7536       423.6584       402.8682       413.2845       0.2935         0.4789         13.4420        0.0280         0.3028         9.6395         7.5305         303.2067       
