The SAM model uses the reference state from grossular.dat at T = 0.000000       K
Reference data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
100.0000       18.0000        9.3863         447.8654       155.8234       114.3259       253.1747       126.0980       324.4341       
100.0000       19.0000        9.3485         453.3797       159.1522       114.8733       257.2318       126.8385       326.8038       
100.0000       20.0000        9.3158         458.8246       162.4890       115.4060       261.2711       127.5556       329.1107       
100.0000       21.0000        9.2825         464.1997       165.8337       115.9240       265.2924       128.2494       331.3550       
100.0000       22.0000        9.2460         469.5051       169.1862       116.4272       269.2958       128.9199       333.5366       
100.0000       23.0000        9.2162         474.7411       172.5468       116.9158       273.2813       129.5673       335.6559       
100.0000       24.0000        9.1839         479.9075       175.9152       117.3897       277.2489       130.1914       337.7128       
100.0000       25.0000        9.1450         485.0039       179.2915       117.8488       281.1984       130.7922       339.7074       
200.0000       0.0000         10.2445        332.7012       96.1942        101.0696       175.0577       107.6090       267.9376       
200.0000       1.0000         10.1916        339.5548       99.3834        101.9079       179.4675       108.8116       271.5645       
200.0000       2.0000         10.1403        346.3366       102.5803       102.7309       183.8586       109.9889       275.1198       
200.0000       3.0000         10.0861        353.0461       105.7848       103.5384       188.2305       111.1407       278.6040       
200.0000       4.0000         10.0312        359.6838       108.9968       104.3307       192.5837       112.2675       282.0181       
200.0000       5.0000         9.9855         366.2511       112.2169       105.1080       196.9187       113.3697       285.3637       
200.0000       6.0000         9.9347         372.7461       115.4444       105.8699       201.2346       114.4469       288.6402       
200.0000       7.0000         9.8833         379.1697       118.6796       106.6166       205.5319       115.4994       291.8486       
200.0000       8.0000         9.8344         385.5223       121.9226       107.3483       209.8106       116.5274       294.9898       
200.0000       9.0000         9.7894         391.8041       125.1734       108.0649       214.0711       117.5312       298.0643       
200.0000       10.0000        9.7426         398.0147       128.4318       108.7663       218.3128       118.5105       301.0722       
200.0000       11.0000        9.6964         404.1542       131.6980       109.4527       222.5361       119.4657       304.0142       
200.0000       12.0000        9.6541         410.2233       134.9721       110.1241       226.7411       120.3968       306.8908       
200.0000       13.0000        9.6079         416.2210       138.2537       110.7804       230.9274       121.3037       309.7018       
200.0000       14.0000        9.5605         422.1478       141.5430       111.4217       235.0952       122.1867       312.4478       
200.0000       15.0000        9.5154         428.0041       144.8402       112.0480       239.2448       123.0458       315.1294       
200.0000       16.0000        9.4763         433.7905       148.1453       112.6595       243.3763       123.8813       317.7471       
200.0000       17.0000        9.4337         439.5058       151.4581       113.2559       247.4893       124.6929       320.3004       
200.0000       18.0000        9.4096         445.1526       154.7793       113.8378       251.5851       125.4812       322.7912       
200.0000       19.0000        9.3712         450.7274       158.1078       114.4044       255.6617       126.2456       325.2173       
200.0000       20.0000        9.3379         456.2322       161.4442       114.9563       259.7203       126.9865       327.5804       
200.0000       21.0000        9.3041         461.6666       164.7884       115.4932       263.7606       127.7038       329.8801       
200.0000       22.0000        9.2670         467.0304       168.1402       116.0152       267.7824       128.3976       332.1166       
200.0000       23.0000        9.2367         472.3245       171.5000       116.5225       271.7864       129.0681       334.2906       
200.0000       24.0000        9.2039         477.5482       174.8676       117.0148       275.7721       129.7151       336.4016       
200.0000       25.0000        9.1645         482.7011       178.2426       117.4923       279.7391       130.3387       338.4495       
300.0000       0.0000         10.2825        328.3446       95.0271        100.1045       172.8494       106.3991       264.8704       
300.0000       1.0000         10.2289        335.2826       98.2180        100.9689       177.2878       107.6342       268.5743       
300.0000       2.0000         10.1768        342.1474       101.4163       101.8176       181.7069       108.8434       272.2055       
300.0000       3.0000         10.1219        348.9381       104.6220       102.6505       186.1062       110.0267       275.7642       
300.0000       4.0000         10.0663        355.6556       107.8351       103.4677       190.4860       111.1844       279.2515       
