Output data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         9.2746         21.0000        4.0324         465.1214       166.2140       116.0807       265.8498       265.8498       265.8498       129.4299       127.4660       128.4479       334.0746       329.7039       331.8916       0.2919         0.4832         11.6225        0.0076         0.0770         10.4116        8.1197         282.2047       
0.0000         9.2383         22.0000        4.0482         470.4036       169.5660       116.5768       269.8452       269.8452       269.8452       130.1136       128.1055       129.1096       336.2902       331.8092       334.0521       0.2937         0.4785         11.4997        0.0078         0.0784         10.4490        8.1644         282.8076       
0.0000         9.2088         23.0000        4.0612         475.6166       172.9260       117.0583       273.8229       273.8229       273.8229       130.7731       128.7231       129.7481       338.4414       333.8547       336.1505       0.2954         0.4738         11.3775        0.0079         0.0796         10.4891        8.2112         283.4159       
0.0000         9.1767         24.0000        4.0754         480.7604       176.2940       117.5252       277.7828       277.7828       277.7828       131.4084       129.3187       130.3635       340.5282       335.8404       338.1869       0.2971         0.4693         11.2559        0.0080         0.0808         10.5267        8.2559         283.9826       
0.0000         9.1379         25.0000        4.0927         485.8350       179.6700       117.9775       281.7250       281.7250       281.7250       132.0195       129.8923       130.9559       342.5508       337.7666       340.1613       0.2988         0.4648         11.1348        0.0081         0.0819         10.5593        8.2968         284.4866       
100.0000       10.2099        0.0000         3.6630         336.6642       97.2559        101.9476       177.0587       177.0587       177.0587       109.0502       108.3782       108.7142       271.4268       270.0376       270.7325       0.2452         0.6140         14.5556        0.0031         0.0310         9.3760         6.9525         262.3292       
100.0000       10.1577        1.0000         3.6818         343.4377       100.4427       102.7613       181.4410       181.4410       181.4410       110.2558       109.5168       109.8863       275.0537       273.5188       274.2867       0.2480         0.6056         14.3846        0.0034         0.0337         9.4379         7.0200         263.6031       
100.0000       10.1071        2.0000         3.7002         350.1408       103.6373       103.5602       185.8052       185.8052       185.8052       111.4368       110.6302       111.0335       278.6113       276.9286       277.7705       0.2508         0.5976         14.2189        0.0036         0.0365         9.4986         7.0862         264.8415       
100.0000       10.0536        3.0000         3.7199         356.7736       106.8398       104.3441       190.1511       190.1511       190.1511       112.5932       111.7187       112.1560       282.1001       280.2679       281.1846       0.2535         0.5898         14.0578        0.0039         0.0391         9.5560         7.1496         266.0260       
100.0000       9.9994         4.0000         3.7401         363.3360       110.0501       105.1132       194.4787       194.4787       194.4787       113.7251       112.7825       113.2538       285.5207       283.5377       284.5299       0.2562         0.5823         13.9010        0.0042         0.0418         9.6111         7.2110         267.1666       
100.0000       9.9544         5.0000         3.7570         369.8287       113.2684       105.8675       198.7885       198.7885       198.7885       114.8325       113.8221       114.3273       288.8738       286.7394       287.8073       0.2587         0.5751         13.7481        0.0044         0.0444         9.6688         7.2740         268.3087       
100.0000       9.9043         6.0000         3.7760         376.2510       116.4945       106.6068       203.0800       203.0800       203.0800       115.9154       114.8374       115.3764       292.1593       289.8732       291.0171       0.2612         0.5681         13.5987        0.0047         0.0469         9.7222         7.3336         269.3892       
100.0000       9.8535         7.0000         3.7955         382.6031       119.7284       107.3314       207.3533       207.3533       207.3533       116.9738       115.8287       116.4012       295.3777       292.9401       294.1599       0.2636         0.5614         13.4526        0.0049         0.0494         9.7736         7.3913         270.4287       
100.0000       9.8053         8.0000         3.8141         388.8854       122.9703       108.0411       211.6086       211.6086       211.6086       118.0077       116.7962       117.4020       298.5295       295.9410       297.2363       0.2659         0.5548         13.3093        0.0052         0.0519         9.8245         7.4485         271.4427       
100.0000       9.7609         9.0000         3.8315         395.0978       126.2201       108.7361       215.8460       215.8460       215.8460       119.0172       117.7402       118.3787       301.6149       298.8765       300.2469       0.2682         0.5484         13.1688        0.0054         0.0542         9.8757         7.5056         272.4378       
100.0000       9.7147         10.0000        3.8497         401.2401       129.4777       109.4162       220.0652       220.0652       220.0652       120.0022       118.6606       119.3314       304.6340       301.7472       303.1918       0.2704         0.5423         13.0306        0.0056         0.0565         9.9244         7.5607         273.3891       
100.0000       9.6691         11.0000        3.8678         407.3125       132.7432       110.0816       224.2663       224.2663       224.2663       120.9628       119.5578       120.2603       307.5872       304.5535       306.0717       0.2725         0.5362         12.8946        0.0058         0.0588         9.9719         7.6146         274.3079       
100.0000       9.6274         12.0000        3.8846         413.3152       136.0167       110.7322       228.4495       228.4495       228.4495       121.8990       120.4318       121.1654       310.4747       307.2962       308.8869       0.2746         0.5304         12.7607        0.0061         0.0609         10.0198        7.6687         275.2106       
100.0000       9.5818         13.0000        3.9031         419.2479       139.2980       111.3680       232.6146       232.6146       232.6146       122.8108       121.2827       122.0467       313.2965       309.9755       311.6375       0.2767         0.5247         12.6285        0.0063         0.0630         10.0643        7.7199         276.0606       
100.0000       9.5350         14.0000        3.9223         425.1106       142.5871       111.9890       236.7616       236.7616       236.7616       123.6981       122.1107       122.9044       316.0528       312.5919       314.3240       0.2787         0.5191         12.4980        0.0065         0.0650         10.1066        7.7694         276.8713       
100.0000       9.4904         15.0000        3.9407         430.9036       145.8842       112.5953       240.8907       240.8907       240.8907       124.5611       122.9159       123.7385       318.7439       315.1459       316.9467       0.2807         0.5137         12.3690        0.0066         0.0669         10.1487        7.8185         277.6600       
100.0000       9.4520         16.0000        3.9567         436.6272       149.1893       113.1869       245.0019       245.0019       245.0019       125.3997       123.6984       124.5490       321.3700       317.6381       319.5059       0.2827         0.5084         12.2414        0.0068         0.0688         10.1927        7.8690         278.4459       
100.0000       9.4099         17.0000        3.9744         442.2808       152.5023       113.7637       249.0951       249.0951       249.0951       126.2139       124.4583       125.3361       323.9309       320.0684       322.0016       0.2846         0.5032         12.1149        0.0070         0.0705         10.2334        7.9167         279.1823       
100.0000       9.3863         18.0000        3.9844         447.8654       155.8234       114.3259       253.1707       253.1707       253.1707       127.0040       125.1958       126.0999       326.4274       322.4378       324.4346       0.2864         0.4981         11.9896        0.0072         0.0722         10.2829        7.9712         279.9795       
100.0000       9.3485         19.0000        4.0005         453.3797       159.1522       114.8733       257.2280       257.2280       257.2280       127.7695       125.9108       126.8401       328.8586       324.7457       326.8043       0.2883         0.4931         11.8653        0.0073         0.0738         10.3234        8.0187         280.6751       
100.0000       9.3158         20.0000        4.0146         458.8246       162.4890       115.4060       261.2675       261.2675       261.2675       128.5107       126.6035       127.5571       331.2251       326.9929       329.1113       0.2901         0.4882         11.7418        0.0075         0.0753         10.3656        8.0672         281.3660       
100.0000       9.2825         21.0000        4.0290         464.1997       165.8337       115.9240       265.2890       265.2890       265.2890       129.2276       127.2738       128.2507       333.5269       329.1796       331.3555       0.2918         0.4834         11.6192        0.0076         0.0768         10.4062        8.1145         282.0241       
100.0000       9.2460         22.0000        4.0449         469.5051       169.1862       116.4272       269.2925       269.2925       269.2925       129.9201       127.9219       128.9210       335.7639       331.3057       333.5372       0.2936         0.4787         11.4973        0.0077         0.0781         10.4438        8.1594         282.6363       
100.0000       9.2162         23.0000        4.0579         474.7411       172.5468       116.9158       273.2782       273.2782       273.2782       130.5884       128.5479       129.5681       337.9365       333.3719       335.6566       0.2953         0.4741         11.3759        0.0079         0.0794         10.4841        8.2063         283.2536       
100.0000       9.1839         24.0000        4.0722         479.9075       175.9152       117.3897       277.2460       277.2460       277.2460       131.2323       129.1518       130.1920       340.0443       335.3780       337.7137       0.2970         0.4696         11.2552        0.0080         0.0805         10.5219        8.2512         283.8291       
100.0000       9.1450         25.0000        4.0895         485.0039       179.2915       117.8488       281.1956       281.1956       281.1956       131.8518       129.7335       130.7927       342.0874       337.3242       339.7084       0.2987         0.4651         11.1349        0.0081         0.0816         10.5547        8.2921         284.3417       
200.0000       10.2445        0.0000         3.6506         332.7012       96.1942        101.0696       175.0298       175.0298       175.0298       107.9432       107.3069       107.6250       268.6109       267.2962       267.9539       0.2448         0.6149         14.4822        0.0030         0.0296         9.3410         6.9242         261.1497       
200.0000       10.1916        1.0000         3.6696         339.5548       99.3834        101.9079       179.4405       179.4405       179.4405       109.1790       108.4761       108.8275       272.3090       270.8498       271.5798       0.2478         0.6065         14.3149        0.0032         0.0324         9.4044         6.9928         262.4668       
