The SAM model uses the reference state from Al2O3.dat at T = 0.000000       K
Reference data for Rhombohedral I structure, Space-Group Number between 149 and 167: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C33(GPa)       C44(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
0.0000         8.2571         0.0000         1.0000         501.3200       158.4600       122.3200       19.4200        504.0800       157.8000       256.8861       169.9281       417.6857       332.0775       
0.0000         8.1156         4.0000         1.0000         522.4443       170.5011       135.8203       20.2072        522.5010       165.6566       272.2966       175.5530       433.4983       336.7740       
0.0000         7.9970         8.0000         1.0000         543.2573       182.5445       149.2813       20.9688        540.7238       173.3066       287.5993       180.9815       448.8030       341.3082       
0.0000         7.8945         12.0000        1.0000         563.7589       194.5901       162.7029       21.7048        558.7486       180.7498       302.7941       186.2181       463.6136       345.6629       
0.0000         7.7968         16.0000        1.0000         583.9491       206.6379       176.0851       22.4152        576.5754       187.9862       317.8810       191.2666       477.9418       349.7784       
0.0000         7.7088         20.0000        1.0000         603.8280       218.6880       189.4280       23.1000        594.2040       195.0160       332.8602       196.1301       491.7970       353.7079       
0.0000         7.6103         24.0000        1.0000         623.3955       230.7403       202.7315       23.7592        611.6346       201.8390       347.7315       200.8115       505.1875       357.3120       
0.0000         7.5229         28.0000        1.0000         642.6517       242.7949       215.9957       24.3928        628.8670       208.4554       362.4950       205.3130       518.1200       360.7682       
0.0000         7.4389         32.0000        1.0000         661.5965       254.8517       229.2205       25.0008        645.9014       214.8650       377.1508       209.6369       530.6004       364.0282       
0.0000         7.3767         36.0000        1.0000         680.2299       266.9107       242.4059       25.5832        662.7378       221.0678       391.6988       213.7849       542.6335       367.2569       
0.0000         7.3046         40.0000        1.0000         698.5520       278.9720       255.5520       26.1400        679.3760       227.0640       406.1390       217.7585       554.2234       370.2023       
0.0000         7.2276         44.0000        1.0000         716.5627       291.0355       268.6587       26.6712        695.8162       232.8534       420.4715       221.5593       565.3737       372.9117       
0.0000         7.1616         48.0000        1.0000         734.2621       303.1013       281.7261       27.1768        712.0582       238.4362       434.6963       225.1885       576.0874       375.5276       
0.0000         7.0990         52.0000        1.0000         751.6501       315.1693       294.7541       27.6568        728.1022       243.8122       448.8132       228.6471       586.3668       377.9922       
0.0000         7.0370         56.0000        1.0000         768.7267       327.2395       307.7427       28.1112        743.9482       248.9814       462.8225       231.9361       596.2140       380.2884       
0.0000         6.9732         60.0000        1.0000         785.4920       339.3120       320.6920       28.5400        759.5960       253.9440       476.7240       235.0565       605.6309       382.3981       
0.0000         6.9178         64.0000        1.0000         801.9459       351.3867       333.6019       28.9432        775.0458       258.6998       490.5178       238.0091       614.6187       384.4202       
0.0000         6.8603         68.0000        1.0000         818.0885       363.4637       346.4725       29.3208        790.2974       263.2490       504.2038       240.7944       623.1787       386.2627       
0.0000         6.8094         72.0000        1.0000         833.9197       375.5429       359.3037       29.6728        805.3510       267.5914       517.7821       243.4132       631.3116       388.0116       
0.0000         6.7584         76.0000        1.0000         849.4395       387.6243       372.0955       29.9992        820.2066       271.7270       531.2527       245.8661       639.0182       389.6088       
0.0000         6.7076         80.0000        1.0000         864.6480       399.7080       384.8480       30.3000        834.8640       275.6560       544.6154       248.1535       646.2988       391.0579       
The SAM model parameters are as follows:
V: b0 is 0.00050250 (ang$^3/atom)     b1 is -0.06227112 (ang^3/atom/GPa)     RMSE is 0.0221175 (ang^3/atom)
C11: b0 is -0.034936 (GPa)     b1 is 9.833306     RMSE is 2.444385 (GPa)
C12: b0 is 0.010154 (GPa)     b1 is 2.620263     RMSE is 1.961381 (GPa)
C13: b0 is 0.007373 (GPa)     b1 is 3.409688     RMSE is 2.453636 (GPa)
C14: b0 is -0.030344 (GPa)     b1 is 0.054201     RMSE is 1.294186 (GPa)
C33: b0 is -0.017180 (GPa)     b1 is 8.193570     RMSE is 2.520239 (GPa)
C44: b0 is -0.026704 (GPa)     b1 is 5.187802     RMSE is 1.127111 (GPa)
B: b0 is -0.003726 (GPa)     b1 is 5.157765     RMSE is 2.349150 (GPa)
G: b0 is -0.025970 (GPa)     b1 is 4.215132     RMSE is 0.626196 (GPa)
E: b0 is -0.054108 (GPa)     b1 is 10.029396     RMSE is 1.783590 (GPa)
The modeled elastic constants and moduli are as follows:
T(K)           P(GPa)         V(ang^3/atom)  C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C33(GPa)       C44(GPa)       B(GPa)         G(GPa)         E(GPa)         
0.0000         0.0000         8.2571         501.3200       158.4600       122.3200       19.4200        504.0800       157.8000       256.8861       169.9281       417.6857       
0.0000         2.0000         8.1833         511.9211       164.4803       129.0751       19.8168        513.3152       161.7542       264.6048       172.7654       425.6564       
0.0000         4.0000         8.1156         522.4443       170.5011       135.8203       20.2072        522.5010       165.6566       272.2966       175.5530       433.4983       
0.0000         6.0000         8.0536         532.8897       176.5225       142.5557       20.5912        531.6372       169.5074       279.9614       178.2915       441.2133       
0.0000         8.0000         7.9970         543.2573       182.5445       149.2813       20.9688        540.7238       173.3066       287.5993       180.9815       448.8030       
0.0000         10.0000        7.9447         553.5470       188.5670       155.9970       21.3400        549.7610       177.0540       295.2102       183.6235       456.2693       
0.0000         12.0000        7.8945         563.7589       194.5901       162.7029       21.7048        558.7486       180.7498       302.7941       186.2181       463.6136       
0.0000         14.0000        7.8444         573.8929       200.6137       169.3989       22.0632        567.6868       184.3938       310.3510       188.7656       470.8374       
0.0000         16.0000        7.7968         583.9491       206.6379       176.0851       22.4152        576.5754       187.9862       317.8810       191.2666       477.9418       
0.0000         18.0000        7.7531         593.9275       212.6627       182.7615       22.7608        585.4144       191.5270       325.3841       193.7213       484.9279       
0.0000         20.0000        7.7088         603.8280       218.6880       189.4280       23.1000        594.2040       195.0160       332.8602       196.1301       491.7970       
0.0000         22.0000        7.6596         613.6507       224.7139       196.0847       23.4328        602.9440       198.4534       340.3093       198.4934       498.5499       
0.0000         24.0000        7.6103         623.3955       230.7403       202.7315       23.7592        611.6346       201.8390       347.7315       200.8115       505.1875       
0.0000         26.0000        7.5657         633.0625       236.7673       209.3685       24.0792        620.2756       205.1730       355.1267       203.0846       511.7106       
0.0000         28.0000        7.5229         642.6517       242.7949       215.9957       24.3928        628.8670       208.4554       362.4950       205.3130       518.1200       
0.0000         30.0000        7.4791         652.1630       248.8230       222.6130       24.7000        637.4090       211.6860       369.8364       207.4971       524.4164       
0.0000         32.0000        7.4389         661.5965       254.8517       229.2205       25.0008        645.9014       214.8650       377.1508       209.6369       530.6004       
0.0000         34.0000        7.4067         670.9521       260.8809       235.8181       25.2952        654.3444       217.9922       384.4383       211.7328       536.6726       
0.0000         36.0000        7.3767         680.2299       266.9107       242.4059       25.5832        662.7378       221.0678       391.6988       213.7849       542.6335       
0.0000         38.0000        7.3425         689.4299       272.9411       248.9839       25.8648        671.0816       224.0918       398.9324       215.7934       548.4836       
0.0000         40.0000        7.3046         698.5520       278.9720       255.5520       26.1400        679.3760       227.0640       406.1390       217.7585       554.2234       
0.0000         42.0000        7.2653         707.5963       285.0035       262.1103       26.4088        687.6208       229.9846       413.3187       219.6805       559.8533       
0.0000         44.0000        7.2276         716.5627       291.0355       268.6587       26.6712        695.8162       232.8534       420.4715       221.5593       565.3737       
0.0000         46.0000        7.1935         725.4513       297.0681       275.1973       26.9272        703.9620       235.6706       427.5973       223.3953       570.7850       
0.0000         48.0000        7.1616         734.2621       303.1013       281.7261       27.1768        712.0582       238.4362       434.6963       225.1885       576.0874       
0.0000         50.0000        7.1301         742.9950       309.1350       288.2450       27.4200        720.1050       241.1500       441.7682       226.9390       581.2812       
0.0000         52.0000        7.0990         751.6501       315.1693       294.7541       27.6568        728.1022       243.8122       448.8132       228.6471       586.3668       
0.0000         54.0000        7.0683         760.2273       321.2041       301.2533       27.8872        736.0500       246.4226       455.8313       230.3128       591.3443       
0.0000         56.0000        7.0370         768.7267       327.2395       307.7427       28.1112        743.9482       248.9814       462.8225       231.9361       596.2140       
0.0000         58.0000        7.0045         777.1483       333.2755       314.2223       28.3288        751.7968       251.4886       469.7867       233.5174       600.9762       
0.0000         60.0000        6.9732         785.4920       339.3120       320.6920       28.5400        759.5960       253.9440       476.7240       235.0565       605.6309       
0.0000         62.0000        6.9451         793.7579       345.3491       327.1519       28.7448        767.3456       256.3478       483.6344       236.5537       610.1784       
0.0000         64.0000        6.9178         801.9459       351.3867       333.6019       28.9432        775.0458       258.6998       490.5178       238.0091       614.6187       
0.0000         66.0000        6.8889         810.0561       357.4249       340.0421       29.1352        782.6964       261.0002       497.3743       239.4226       618.9521       
0.0000         68.0000        6.8603         818.0885       363.4637       346.4725       29.3208        790.2974       263.2490       504.2038       240.7944       623.1787       
0.0000         70.0000        6.8342         826.0430       369.5030       352.8930       29.5000        797.8490       265.4460       511.0064       242.1246       627.2985       
0.0000         72.0000        6.8094         833.9197       375.5429       359.3037       29.6728        805.3510       267.5914       517.7821       243.4132       631.3116       
0.0000         74.0000        6.7841         841.7185       381.5833       365.7045       29.8392        812.8036       269.6850       524.5309       244.6604       635.2182       
0.0000         76.0000        6.7584         849.4395       387.6243       372.0955       29.9992        820.2066       271.7270       531.2527       245.8661       639.0182       
0.0000         78.0000        6.7328         857.0827       393.6659       378.4767       30.1528        827.5600       273.7174       537.9475       247.0305       642.7117       
0.0000         80.0000        6.7076         864.6480       399.7080       384.8480       30.3000        834.8640       275.6560       544.6154       248.1535       646.2988       
100.0000       0.0000         8.2634         500.3165       158.1926       121.9720       19.4145        503.2438       157.2706       256.3597       169.4979       416.6622       
100.0000       2.0000         8.1894         510.9431       164.2158       128.7321       19.8174        512.4980       161.2399       264.0890       172.3484       424.6627       
100.0000       4.0000         8.1215         521.4910       170.2394       135.4821       20.2138        521.7019       165.1570       271.7909       175.1487       432.5333       
100.0000       6.0000         8.0594         531.9602       176.2635       142.2221       20.6036        530.8557       169.0218       279.4654       177.8994       440.2759       
100.0000       8.0000         8.0025         542.3506       182.2881       148.9521       20.9867        539.9593       172.8345       287.1126       180.6012       447.8923       
100.0000       10.0000        7.9500         552.6624       188.3131       155.6721       21.3632        549.0128       176.5950       294.7326       183.2546       455.3843       
100.0000       12.0000        7.8996         562.8954       194.3386       162.3820       21.7332        558.0160       180.3033       302.3251       185.8601       462.7533       
100.0000       14.0000        7.8494         573.0497       200.3644       169.0819       22.0966        566.9691       183.9594       309.8903       188.4181       470.0007       
100.0000       16.0000        7.8016         583.1254       206.3908       175.7718       22.4535        575.8720       187.5634       317.4282       190.9291       477.1279       
100.0000       18.0000        7.7578         593.1226       212.4176       182.4517       22.8038        584.7250       191.1154       324.9389       193.3936       484.1361       
100.0000       20.0000        7.7133         603.0412       218.4448       189.1216       23.1476        593.5278       194.6151       332.4223       195.8118       491.0263       
100.0000       22.0000        7.6640         612.8809       224.4724       195.7814       23.4849        602.2803       198.0627       339.8783       198.1840       497.7993       
100.0000       24.0000        7.6145         622.6421       230.5004       202.4311       23.8157        610.9828       201.4582       347.3070       200.5106       504.4562       
100.0000       26.0000        7.5698         632.3251       236.5290       209.0709       24.1399        619.6354       204.8017       354.7086       202.7921       510.9981       
100.0000       28.0000        7.5269         641.9296       242.5580       215.7008       24.4577        628.2381       208.0933       362.0830       205.0286       517.4257       
100.0000       30.0000        7.4829         651.4557       248.5875       222.3207       24.7689        636.7908       211.3328       369.4301       207.2204       523.7396       
100.0000       32.0000        7.4426         660.9035       254.6175       228.9306       25.0737        645.2937       214.5204       376.7502       209.3678       529.9406       
100.0000       34.0000        7.4102         670.2733       260.6481       235.5307       25.3719        653.7469       217.6562       384.0433       211.4711       536.0296       
100.0000       36.0000        7.3802         679.5649       266.6792       242.1209       25.6637        662.1503       220.7401       391.3092       213.5305       542.0068       
100.0000       38.0000        7.3458         688.7779       272.7107       248.7010       25.9490        670.5036       223.7719       398.5479       215.5460       547.8725       
100.0000       40.0000        7.3078         697.9125       278.7426       255.2712       26.2279        678.8070       226.7517       405.7593       217.5178       553.6272       
100.0000       42.0000        7.2684         706.9687       284.7749       261.8313       26.5003        687.0604       229.6795       412.9436       219.4461       559.2715       
100.0000       44.0000        7.2306         715.9468       290.8078       268.3815       26.7663        695.2640       232.5555       420.1008       221.3312       564.8059       
100.0000       46.0000        7.1964         724.8468       296.8412       274.9218       27.0258        703.4179       235.3797       427.2309       223.1733       570.2308       
100.0000       48.0000        7.1644         733.6686       302.8752       281.4522       27.2788        711.5220       238.1519       434.3340       224.9725       575.5466       
100.0000       50.0000        7.1328         742.4122       308.9096       287.9727       27.5254        719.5764       240.8724       441.4099       226.7288       580.7534       
100.0000       52.0000        7.1015         751.0777       314.9445       294.4833       27.7656        727.5810       243.5409       448.4588       228.4425       585.8516       
100.0000       54.0000        7.0708         759.6650       320.9799       300.9839       27.9993        735.5358       246.1576       455.4806       230.1137       590.8414       
100.0000       56.0000        7.0394         768.1741       327.0158       307.4746       28.2266        743.4409       248.7224       462.4753       231.7425       595.7230       
100.0000       58.0000        7.0068         776.6051       333.0522       313.9553       28.4475        751.2961       251.2354       469.4429       233.3289       600.4967       
100.0000       60.0000        6.9754         784.9579       339.0891       320.4261       28.6619        759.1016       253.6965       476.3834       234.8731       605.1627       
100.0000       62.0000        6.9472         793.2328       345.1265       326.8871       28.8699        766.8574       256.1059       483.2970       236.3753       609.7212       
100.0000       64.0000        6.9198         801.4295       351.1645       333.3381       29.0715        774.5636       258.4634       490.1834       237.8355       614.1724       
100.0000       66.0000        6.8908         809.5482       357.2029       339.7792       29.2667        782.2200       260.7691       497.0428       239.2538       618.5163       
100.0000       68.0000        6.8621         817.5887       363.2418       346.2104       29.4554        789.8266       263.0230       503.8752       240.6303       622.7531       
100.0000       70.0000        6.8360         825.5512       369.2813       352.6317       29.6378        797.3837       265.2251       510.6805       241.9650       626.8830       
100.0000       72.0000        6.8111         833.4358       375.3213       359.0431       29.8137        804.8910       267.3755       517.4588       243.2582       630.9060       
100.0000       74.0000        6.7858         841.2422       381.3618       365.4446       29.9832        812.3487       269.4740       524.2100       244.5097       634.8222       
100.0000       76.0000        6.7600         848.9706       387.4027       371.8362       30.1463        819.7566       271.5207       530.9342       245.7197       638.6316       
100.0000       78.0000        6.7343         856.6210       393.4442       378.2178       30.3030        827.1149       273.5157       537.6314       246.8883       642.3344       
100.0000       80.0000        6.7090         864.1933       399.4862       384.5896       30.4533        834.4234       275.4589       544.3015       248.0154       645.9305       
200.0000       0.0000         8.2843         497.0188       157.3139       120.8286       19.3963        500.4960       155.5308       254.6300       168.0843       413.2987       
200.0000       2.0000         8.2097         507.7021       163.3392       127.5953       19.8196        509.7895       159.5355       262.3793       170.9664       421.3693       
200.0000       4.0000         8.1413         518.3052       169.3649       134.3518       20.2359        519.0316       163.4871       270.1006       173.7975       429.3082       
200.0000       6.0000         8.0787         528.8281       175.3909       141.0980       20.6452        528.2226       167.3856       277.7941       176.5783       437.1174       
200.0000       8.0000         8.0213         539.2710       181.4173       147.8340       21.0475        537.3624       171.2311       285.4597       179.3094       444.7989       
200.0000       10.0000        7.9683         549.6338       187.4440       154.5597       21.4428        546.4511       175.0236       293.0974       181.9915       452.3543       
200.0000       12.0000        7.9174         559.9165       193.4709       161.2751       21.8313        555.4885       178.7631       300.7072       184.6249       459.7851       
200.0000       14.0000        7.8667         570.1188       199.4980       167.9801       22.2129        564.4746       182.4495       308.2889       187.2100       467.0925       
200.0000       16.0000        7.8185         580.2413       205.5254       174.6748       22.5876        573.4095       186.0830       315.8428       189.7475       474.2782       
200.0000       18.0000        7.7742         590.2843       211.5532       181.3594       22.9555        582.2937       189.6638       323.3691       192.2379       481.3437       
200.0000       20.0000        7.7292         600.2471       217.5812       188.0336       23.3167        591.1267       193.1917       330.8675       194.6813       488.2896       
200.0000       22.0000        7.6795         610.1295       223.6093       194.6972       23.6711        599.9081       196.6664       338.3376       197.0780       495.1164       
200.0000       24.0000        7.6296         619.9321       229.6376       201.3505       24.0187        608.6384       200.0883       345.7800       199.4284       501.8257       
200.0000       26.0000        7.5845         629.6557       235.6663       207.9938       24.3597        617.3184       203.4578       353.1949       201.7333       508.4192       
200.0000       28.0000        7.5412         639.2999       241.6955       214.6269       24.6939        625.9477       206.7747       360.5822       203.9928       514.8972       
200.0000       30.0000        7.4968         648.8645       247.7248       221.2497       25.0214        634.5261       210.0390       367.9418       206.2070       521.2602       
200.0000       32.0000        7.4561         658.3502       253.7547       227.8626       25.3423        643.0543       213.2509       375.2740       208.3764       527.5096       
200.0000       34.0000        7.4234         667.7575       259.7851       234.4656       25.6564        651.5326       216.4108       382.5792       210.5015       533.6464       
200.0000       36.0000        7.3929         677.0859       265.8160       241.0585       25.9638        659.9605       219.5183       389.8570       212.5823       539.6706       
200.0000       38.0000        7.3582         686.3344       271.8471       247.6410       26.2647        668.3374       222.5731       397.1069       214.6186       545.5819       
200.0000       40.0000        7.3198         695.5034       277.8783       254.2132       26.5591        676.6633       225.5752       404.3289       216.6107       551.3811       
200.0000       42.0000        7.2801         704.5931       283.9098       260.7751       26.8468        684.9385       228.5249       411.5234       218.5589       557.0688       
200.0000       44.0000        7.2419         713.6039       289.9417       267.3269       27.1281        693.1635       231.4223       418.6904       220.4635       562.6458       
200.0000       46.0000        7.2074         722.5362       295.9741       273.8688       27.4026        701.3384       234.2675       425.8303       222.3249       568.1129       
200.0000       48.0000        7.1751         731.3898       302.0069       280.4007       27.6706        709.4632       237.0606       432.9429       224.1431       573.4701       
200.0000       50.0000        7.1431         740.1645       308.0401       286.9225       27.9321        717.5377       239.8015       440.0281       225.9181       578.7176       
200.0000       52.0000        7.1115         748.8604       314.0737       293.4342       28.1870        725.5619       242.4901       447.0859       227.6502       583.8558       
200.0000       54.0000        7.0804         757.4776       320.1077       299.9357       28.4354        733.5358       245.1265       454.1163       229.3395       588.8850       
200.0000       56.0000        7.0487         766.0159       326.1421       306.4272       28.6774        741.4594       247.7107       461.1193       230.9860       593.8052       
200.0000       58.0000        7.0158         774.4753       332.1767       312.9085       28.9128        749.3327       250.2427       468.0948       232.5899       598.6168       
200.0000       60.0000        6.9841         782.8561       338.2118       319.3797       29.1418        757.1558       252.7225       475.0431       234.1514       603.3201       
200.0000       62.0000        6.9556         791.1587       344.2474       325.8410       29.3642        764.9291       255.1504       481.9642       235.6706       607.9157       
200.0000       64.0000        6.9279         799.3827       350.2834       332.2923       29.5801        772.6523       257.5262       488.8581       237.1477       612.4033       
200.0000       66.0000        6.8986         807.5278       356.3198       338.7335       29.7897        780.3252       259.8498       495.7245       238.5825       616.7830       
200.0000       68.0000        6.8697         815.5945       362.3565       345.1645       29.9927        787.9480       262.1213       502.5637       239.9753       621.0551       
200.0000       70.0000        6.8432         823.5828       368.3937       351.5857       30.1893        795.5209       264.3409       509.3757       241.3263       625.2199       
200.0000       72.0000        6.8180         831.4927       374.4314       357.9968       30.3794        803.0439       266.5085       516.1606       242.6354       629.2774       
200.0000       74.0000        6.7924         839.3241       380.4695       364.3979       30.5631        810.5168       268.6241       522.9181       243.9028       633.2277       
200.0000       76.0000        6.7664         847.0770       386.5079       370.7889       30.7404        817.9396       270.6876       529.6483       245.1284       637.0707       
200.0000       78.0000        6.7404         854.7514       392.5468       377.1698       30.9113        825.3123       272.6991       536.3512       246.3124       640.8065       
200.0000       80.0000        6.7148         862.3474       398.5860       383.5407       31.0758        832.6350       274.6586       543.0270       247.4548       644.4354       
300.0000       0.0000         8.3085         493.1956       156.2951       119.5029       19.3752        497.3104       153.5138       252.6247       166.4455       409.3993       
300.0000       2.0000         8.2334         503.9371       162.3210       126.2748       19.8221        506.6431       157.5556       260.3932       169.3610       417.5435       
300.0000       4.0000         8.1644         514.5970       168.3470       133.0362       20.2616        515.9236       161.5434       268.1333       172.2248       425.5544       
300.0000       6.0000         8.1011         525.1754       174.3733       139.7871       20.6937        525.1519       165.4774       275.8449       175.0376       433.4340       
300.0000       8.0000         8.0432         535.6726       180.3998       146.5275       21.1185        534.3281       169.3576       283.5282       177.8001       441.1844       
300.0000       10.0000        7.9897         546.0884       186.4265       153.2575       21.5360        543.4523       173.1841       291.1832       180.5128       448.8073       
300.0000       12.0000        7.9383         556.4227       192.4532       159.9768       21.9463        552.5242       176.9567       298.8096       183.1762       456.3039       
300.0000       14.0000        7.8871         566.6752       198.4800       166.6854       22.3495        561.5436       180.6754       306.4073       185.7906       463.6755       
300.0000       16.0000        7.8383         576.8467       204.5069       173.3836       22.7455        570.5111       184.3405       313.9768       188.3568       470.9240       
300.0000       18.0000        7.7936         586.9376       210.5341       180.0714       23.1344        579.4271       187.9524       321.5182       190.8753       478.0512       
300.0000       20.0000        7.7481         596.9471       216.5612       186.7485       23.5163        588.2908       191.5105       329.0311       193.3462       485.0573       
300.0000       22.0000        7.6979         606.8745       222.5882       193.4146       23.8913        597.1016       195.0145       336.5150       195.7696       491.9425       
300.0000       24.0000        7.6476         616.7211       228.6152       200.0701       24.2594        605.8606       198.4651       343.9706       198.1462       498.7090       
300.0000       26.0000        7.6020         626.4879       234.6426       206.7155       24.6205        614.5688       201.8629       351.3986       200.4769       505.3587       
300.0000       28.0000        7.5582         636.1745       240.6703       213.3506       24.9746        623.2256       205.2076       358.7986       202.7617       511.8920       
300.0000       30.0000        7.5134         645.7803       246.6980       219.9751       25.3220        631.8306       208.4990       366.1703       205.0007       518.3091       
300.0000       32.0000        7.4722         655.3066       252.7261       226.5894       25.6625        640.3849       211.7376       373.5145       207.1946       524.6118       
300.0000       34.0000        7.4391         664.7543       258.7550       233.1941       25.9960        648.8893       214.9241       380.8316       209.3440       530.8015       
300.0000       36.0000        7.4082         674.1223       264.7842       239.7885       26.3226        657.3427       218.0577       388.1209       211.4487       536.8778       
300.0000       38.0000        7.3731         683.4093       270.8133       246.3721       26.6426        665.7442       221.1380       395.3818       213.5084       542.8400       
300.0000       40.0000        7.3342         692.6157       276.8423       252.9451       26.9560        674.0938       224.1650       402.6144       215.5234       548.6888       
300.0000       42.0000        7.2941         701.7419       282.8714       259.5075       27.2627        682.3920       227.1391       409.8189       217.4941       554.4252       
300.0000       44.0000        7.2555         710.7886       288.9009       266.0598       27.5627        690.6395       230.0605       416.9958       219.4209       560.0503       
300.0000       46.0000        7.2206         719.7564       294.9308       272.6020       27.8560        698.8367       232.9296       424.1453       221.3042       565.5648       
300.0000       48.0000        7.1879         728.6449       300.9611       279.1342       28.1426        706.9834       235.7462       431.2673       223.1441       570.9689       
300.0000       50.0000        7.1556         737.4540       306.9917       285.6560       28.4225        715.0792       238.5101       438.3617       224.9405       576.2627       
300.0000       52.0000        7.1236         746.1837       313.0225       292.1676       28.6958        723.1243       241.2216       445.4284       226.6937       581.4464       
300.0000       54.0000        7.0921         754.8340       319.0537       298.6690       28.9625        731.1187       243.8804       452.4674       228.4038       586.5205       
300.0000       56.0000        7.0601         763.4048       325.0850       305.1601       29.2227        739.0623       246.4867       459.4787       230.0708       591.4850       
300.0000       58.0000        7.0268         771.8961       331.1165       311.6407       29.4764        746.9550       249.0405       466.4622       231.6950       596.3402       
300.0000       60.0000        6.9947         780.3084       337.1484       318.1113       29.7235        754.7972       251.5418       473.4183       233.2765       601.0866       
300.0000       62.0000        6.9658         788.6421       343.1807       324.5718       29.9639        762.5894       253.9910       480.3471       234.8156       605.7248       
300.0000       64.0000        6.9378         796.8968       349.2134       331.0223       30.1978        770.3311       256.3879       487.2485       236.3123       610.2547       
300.0000       66.0000        6.9081         805.0720       355.2463       337.4623       30.4253        778.0220       258.7323       494.1221       237.7666       614.6760       
300.0000       68.0000        6.8788         813.1683       361.2794       343.8922       30.6464        785.6625       261.0243       500.9682       239.1786       618.9892       
300.0000       70.0000        6.8520         821.1860       367.3131       350.3121       30.8608        793.2529       263.2643       507.7870       240.5486       623.1949       
300.0000       72.0000        6.8264         829.1250       373.3471       356.7219       31.0688        800.7931       265.4521       514.5785       241.8766       627.2929       
300.0000       74.0000        6.8005         836.9850       379.3814       363.1214       31.2703        808.2828       267.5876       521.3425       243.1626       631.2831       
300.0000       76.0000        6.7741         844.7660       385.4159       369.5107       31.4654        815.7220       269.6708       528.0789       244.4068       635.1656       
300.0000       78.0000        6.7478         852.4681       391.4507       375.8898       31.6541        823.1109       271.7017       534.7879       245.6091       638.9406       
300.0000       80.0000        6.7219         860.0915       397.4859       382.2588       31.8364        830.4495       273.6806       541.4694       246.7698       642.6083       
400.0000       0.0000         8.3337         489.2216       155.2362       118.1249       19.3533        493.9990       151.4172       250.5402       164.7420       405.3460       
400.0000       2.0000         8.2579         500.0215       161.2620       124.9014       19.8247        503.3709       155.4964       258.3277       167.6913       413.5646       
400.0000       4.0000         8.1884         510.7384       167.2879       131.6672       20.2883        512.6894       159.5209       266.0861       170.5882       421.6483       
400.0000       6.0000         8.1246         521.3726       173.3138       138.4222       20.7442        521.9549       163.4907       273.8156       173.4335       429.5991       
400.0000       8.0000         8.0661         531.9242       179.3399       145.1666       21.1925        531.1673       167.4060       281.5163       176.2278       437.4192       
400.0000       10.0000        8.0120         542.3933       185.3660       151.9003       21.6331        540.3269       171.2669       289.1881       178.9717       445.1105       
400.0000       12.0000        7.9601         552.7795       191.3920       158.6231       22.0663        549.4331       175.0731       296.8309       181.6656       452.6739       
400.0000       14.0000        7.9083         563.0825       197.4179       165.3348       22.4920        558.4858       178.8246       304.4443       184.3098       460.1107       
400.0000       16.0000        7.8591         573.3034       203.4437       172.0358       22.9103        567.4857       182.5218       312.0290       186.9051       467.4230       
400.0000       18.0000        7.8138         583.4427       209.4698       178.7263       23.3212        576.4334       186.1651       319.5853       189.4523       474.6129       
400.0000       20.0000        7.7678         593.4994       215.4956       185.4059       23.7249        585.3279       189.7540       327.1125       191.9513       481.6802       
400.0000       22.0000        7.7171         603.4724       221.5209       192.0740       24.1215        594.1683       193.2879       334.6099       194.4020       488.6250       
400.0000       24.0000        7.6663         613.3634       227.5461       198.7313       24.5110        602.9559       196.7678       342.0786       196.8054       495.4498       
400.0000       26.0000        7.6202         623.1739       233.5717       205.3783       24.8933        611.6923       200.1944       349.5194       199.1625       502.1571       
400.0000       28.0000        7.5760         632.9034       239.5973       212.0148       25.2685        620.3766       203.5674       356.9319       201.4733       508.7469       
400.0000       30.0000        7.5307         642.5511       245.6229       218.6405       25.6367        629.0084       206.8866       364.3156       203.7377       515.2193       
400.0000       32.0000        7.4891         652.1187       251.6488       225.2559       25.9978        637.5889       210.1526       371.6715       205.9568       521.5765       
400.0000       34.0000        7.4555         661.6074       257.6756       231.8617       26.3518        646.1194       213.3662       379.0003       208.1311       527.8205       
400.0000       36.0000        7.4242         671.0157       263.7026       238.4571       26.6987        654.5985       216.5266       386.3010       210.2604       533.9501       
400.0000       38.0000        7.3886         680.3419       269.7292       245.0414       27.0389        663.0247       219.6330       393.5728       212.3441       539.9645       
400.0000       40.0000        7.3494         689.5863       275.7555       251.6147       27.3724        671.3982       222.6856       400.8157       214.3827       545.8644       
400.0000       42.0000        7.3088         698.7497       281.7818       258.1773       27.6992        679.7196       225.6848       408.0302       216.3766       551.6509       
400.0000       44.0000        7.2698         707.8331       287.8082       264.7295       28.0191        687.9899       228.6310       415.2168       218.3263       557.3255       
400.0000       46.0000        7.2345         716.8372       293.8352       271.2717       28.3321        696.2095       231.5245       422.3758       220.2323       562.8890       
400.0000       48.0000        7.2014         725.7615       299.8625       277.8037       28.6383        704.3783       234.3653       429.5072       222.0946       568.3415       
400.0000       50.0000        7.1687         734.6057       305.8899       284.3252       28.9378        712.4958       237.1532       436.6106       223.9132       573.6830       
400.0000       52.0000        7.1363         743.3699       311.9175       290.8363       29.2306        720.5621       239.8881       443.6861       225.6882       578.9138       
400.0000       54.0000        7.1044         752.0543       317.9453       297.3371       29.5167        728.5772       242.5702       450.7336       227.4199       584.0343       
