Output data for Rhombohedral I structure, Space-Group Number between 149 and 167: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C33(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         7.3767         36.0000        4.5904         680.2299       266.9107       242.4059       25.5832        662.7378       221.0678       391.8492       391.5484       391.6988       214.5241       213.0457       213.7849       544.2523       541.0133       542.6335       0.2691         0.5458         19.7188        0.0035         0.0355         12.1419        9.2374         367.2569       
0.0000         7.3425         38.0000        4.6118         689.4299       272.9411       248.9839       25.8648        671.0816       224.0918       399.0843       398.7804       398.9324       216.5544       215.0324       215.7934       550.1536       546.8122       548.4836       0.2709         0.5409         19.6055        0.0035         0.0362         12.2021        9.3007         368.7699       
0.0000         7.3046         40.0000        4.6357         698.5520       278.9720       255.5520       26.1400        679.3760       227.0640       406.2924       405.9856       406.1390       218.5439       216.9732       217.7585       555.9501       552.4953       554.2234       0.2726         0.5362         19.4919        0.0036         0.0370         12.2573        9.3600         370.2023       
0.0000         7.2653         42.0000        4.6608         707.5963       285.0035       262.1103       26.4088        687.6208       229.9846       413.4735       413.1640       413.3187       220.4924       218.8685       219.6805       561.6419       558.0632       559.8533       0.2742         0.5315         19.3780        0.0037         0.0378         12.3095        9.4170         371.5745       
0.0000         7.2276         44.0000        4.6851         716.5627       291.0355       268.6587       26.6712        695.8162       232.8534       420.6275       420.3155       420.4715       222.4000       220.7187       221.5593       567.2290       563.5168       565.3737       0.2759         0.5269         19.2635        0.0038         0.0388         12.3612        9.4735         372.9117       
0.0000         7.1935         46.0000        4.7073         725.4513       297.0681       275.1973       26.9272        703.9620       235.6706       427.7545       427.4402       427.5973       224.2667       222.5239       223.3953       572.7114       568.8567       570.7850       0.2775         0.5224         19.1485        0.0039         0.0399         12.4142        9.5308         374.2330       
0.0000         7.1616         48.0000        4.7283         734.2621       303.1013       281.7261       27.1768        712.0582       238.4362       434.8544       434.5381       434.6963       226.0925       224.2845       225.1885       578.0894       574.0834       576.0874       0.2791         0.5180         19.0329        0.0040         0.0410         12.4674        9.5883         375.5276       
0.0000         7.1301         50.0000        4.7492         742.9950       309.1350       288.2450       27.4200        720.1050       241.1500       441.9272       441.6092       441.7682       227.8773       226.0007       226.9390       583.3627       579.1976       581.2812       0.2807         0.5137         18.9166        0.0041         0.0422         12.5193        9.6447         376.7806       
0.0000         7.0990         52.0000        4.7700         751.6501       315.1693       294.7541       27.6568        728.1022       243.8122       448.9730       448.6535       448.8132       229.6213       227.6729       228.6471       588.5316       584.1997       586.3668       0.2823         0.5094         18.7996        0.0043         0.0435         12.5699        9.7000         377.9922       
0.0000         7.0683         54.0000        4.7907         760.2273       321.2041       301.2533       27.8872        736.0500       246.4226       455.9918       455.6709       455.8313       231.3243       229.3012       230.3128       593.5960       589.0903       591.3443       0.2838         0.5053         18.6819        0.0044         0.0448         12.6194        9.7544         379.1645       
0.0000         7.0370         56.0000        4.8120         768.7267       327.2395       307.7427       28.1112        743.9482       248.9814       462.9835       462.6615       462.8225       232.9864       230.8859       231.9361       598.5558       593.8697       596.2140       0.2853         0.5011         18.5634        0.0045         0.0462         12.6668        9.8072         380.2884       
0.0000         7.0045         58.0000        4.8343         777.1483       333.2755       314.2223       28.3288        751.7968       251.4886       469.9482       469.6253       469.7867       234.6076       232.4272       233.5174       603.4111       598.5385       600.9762       0.2868         0.4971         18.4440        0.0047         0.0476         12.7115        9.8578         381.3589       
0.0000         6.9732         60.0000        4.8560         785.4920       339.3120       320.6920       28.5400        759.5960       253.9440       476.8858       476.5623       476.7240       236.1879       233.9252       235.0565       608.1619       603.0970       605.6309       0.2883         0.4931         18.3238        0.0048         0.0490         12.7558        9.9081         382.3981       
0.0000         6.9451         62.0000        4.8757         793.7579       345.3491       327.1519       28.7448        767.3456       256.3478       483.7963       483.4724       483.6344       237.7272       235.3803       236.5537       612.8081       607.5455       610.1784       0.2897         0.4891         18.2027        0.0050         0.0505         12.8016        9.9596         383.4256       
0.0000         6.9178         64.0000        4.8949         801.9459       351.3867       333.6019       28.9432        775.0458       258.6998       490.6799       490.3557       490.5178       239.2257       236.7925       238.0091       617.3496       611.8845       614.6187       0.2912         0.4852         18.0807        0.0051         0.0520         12.8468        10.0105        384.4202       
0.0000         6.8889         66.0000        4.9155         810.0561       357.4249       340.0421       29.1352        782.6964       261.0002       497.5363       497.2122       497.3743       240.6832       238.1620       239.4226       621.7865       616.1142       618.9521       0.2926         0.4814         17.9578        0.0053         0.0536         12.8891        10.0591        385.3597       
