Output data for Rhombohedral I structure, Space-Group Number between 149 and 167: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C33(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
300.0000       7.0921         54.0000        4.7746         754.8340       319.0537       298.6690       28.9625        731.1187       243.8804       452.6189       452.2967       452.4578       229.4232       227.3243       228.3737       588.7881       584.1143       586.4525       0.2840         0.5047         18.5490        0.0046         0.0469         12.5912        9.7347         377.7859       
300.0000       7.0601         56.0000        4.7963         763.4048       325.0850       305.1601       29.2227        739.0623       246.4867       459.6313       459.3078       459.4696       231.1245       228.9470       230.0357       593.8369       588.9799       591.4098       0.2855         0.5007         18.4358        0.0047         0.0483         12.6390        9.7876         378.9421       
300.0000       7.0268         58.0000        4.8190         771.8961       331.1165       311.6407       29.4764        746.9550       249.0405       466.6159       466.2912       466.4536       232.7841       230.5255       231.6548       598.7797       593.7330       596.2578       0.2870         0.4966         18.3216        0.0049         0.0497         12.6842        9.8384         380.0437       
300.0000       6.9947         60.0000        4.8411         780.3084       337.1484       318.1113       29.7235        754.7972       251.5418       473.5729       473.2473       473.4101       234.4023       232.0600       233.2312       603.6169       598.3745       600.9973       0.2884         0.4927         18.2064        0.0050         0.0512         12.7289        9.8889         381.1132       
300.0000       6.9658         62.0000        4.8612         788.6421       343.1807       324.5718       29.9639        762.5894       253.9910       480.5025       480.1762       480.3394       235.9792       233.5511       234.7651       608.3489       602.9052       605.6287       0.2899         0.4887         18.0902        0.0052         0.0527         12.7751        9.9404         382.1699       
300.0000       6.9378         64.0000        4.8808         796.8968       349.2134       331.0223       30.1978        770.3311       256.3879       487.4045       487.0778       487.2412       237.5146       234.9988       236.2567       612.9752       607.3250       610.1519       0.2913         0.4849         17.9729        0.0053         0.0542         12.8206        9.9914         383.1928       
300.0000       6.9081         66.0000        4.9018         805.0720       355.2463       337.4623       30.4253        778.0220       258.7323       494.2787       493.9518       494.1152       239.0085       236.4030       237.7058       617.4955       611.6340       614.5667       0.2927         0.4811         17.8545        0.0055         0.0558         12.8632        10.0401        384.1598       
300.0000       6.8788         68.0000        4.9227         813.1683       361.2794       343.8922       30.6464        785.6625       261.0243       501.1252       500.7983       500.9618       240.4610       237.7642       239.1126       621.9101       615.8328       618.8735       0.2941         0.4773         17.7351        0.0056         0.0574         12.9047        10.0879        385.0894       
300.0000       6.8520         70.0000        4.9419         821.1860       367.3131       350.3121       30.8608        793.2529       263.2643       507.9444       507.6178       507.7811       241.8722       239.0826       240.4774       626.2192       619.9221       623.0729       0.2955         0.4736         17.6145        0.0058         0.0590         12.9472        10.1365        386.0028       
300.0000       6.8264         72.0000        4.9604         829.1250       373.3471       356.7219       31.0688        800.7931       265.4521       514.7361       514.4099       514.5730       243.2421       240.3583       241.8002       630.4228       623.9020       627.1647       0.2969         0.4699         17.4929        0.0060         0.0606         12.9896        10.1851        386.8891       
300.0000       6.8005         74.0000        4.9794         836.9850       379.3814       363.1214       31.2703        808.2828       267.5876       521.5001       521.1747       521.3374       244.5706       241.5914       243.0810       634.5204       627.7724       631.1489       0.2982         0.4663         17.3701        0.0061         0.0623         13.0304        10.2323        387.7329       
300.0000       6.7741         76.0000        4.9987         844.7660       385.4159       369.5107       31.4654        815.7220       269.6708       528.2365       527.9120       528.0743       245.8578       242.7820       244.3199       638.5121       631.5337       635.0255       0.2996         0.4627         17.2462        0.0063         0.0640         13.0694        10.2782        388.5344       
300.0000       6.7478         78.0000        5.0183         852.4681       391.4507       375.8898       31.6541        823.1109       271.7017       534.9453       534.6220       534.7836       247.1036       243.9303       245.5169       642.3979       635.1862       638.7948       0.3009         0.4591         17.1212        0.0065         0.0656         13.1073        10.3232        389.2983       
300.0000       6.7219         80.0000        5.0376         860.0915       397.4859       382.2588       31.8364        830.4495       273.6806       541.6266       541.3046       541.4656       248.3081       245.0366       246.6723       646.1777       638.7301       642.4568       0.3022         0.4556         16.9951        0.0066         0.0674         13.1443        10.3675        390.0289       
400.0000       8.3337         0.0000         4.0633         489.2216       155.2362       118.1249       19.3533        493.9990       151.4172       250.6016       250.4013       250.5014       166.0292       163.6597       164.8445       407.9873       403.1480       405.5704       0.2302         0.6581         21.2878        0.0072         0.0732         10.7584        7.8518         327.6190       
400.0000       8.2579         2.0000         4.1006         500.0215       161.2620       124.9014       19.8247        503.3709       155.4964       258.3937       258.1865       258.2901       168.8978       166.6893       167.7935       416.0448       411.5089       413.7792       0.2330         0.6496         21.1738        0.0066         0.0670         10.8420        7.9366         330.1401       
400.0000       8.1884         4.0000         4.1354         510.7384       167.2879       131.6672       20.2883        512.6894       159.5209       266.1567       265.9427       266.0497       171.7230       169.6556       170.6893       423.9847       419.7156       421.8521       0.2357         0.6416         21.0628        0.0061         0.0617         10.9256        8.0209         332.6110       
400.0000       8.1246         6.0000         4.1679         521.3726       173.3138       138.4222       20.7442        521.9549       163.4907       273.8907       273.6700       273.7803       174.5049       172.5604       173.5326       431.8083       427.7717       429.7917       0.2384         0.6338         20.9543        0.0056         0.0572         11.0092        8.1048         335.0337       
400.0000       8.0661         8.0000         4.1981         531.9242       179.3399       145.1666       21.1925        531.1673       167.4060       281.5958       281.3685       281.4821       177.2437       175.4050       176.3243       439.5166       435.6806       437.6001       0.2409         0.6264         20.8479        0.0052         0.0532         11.0929        8.1884         337.4098       
400.0000       8.0120         10.0000        4.2264         542.3933       185.3660       151.9003       21.6331        540.3269       171.2669       289.2719       289.0382       289.1550       179.9393       178.1908       179.0650       447.1106       443.4451       445.2791       0.2433         0.6193         20.7433        0.0049         0.0499         11.1762        8.2714         339.7373       
400.0000       7.9601         12.0000        4.2540         552.7795       191.3920       158.6231       22.0663        549.4331       175.0731       296.9187       296.6789       296.7988       182.5916       180.9187       181.7552       454.5906       451.0673       452.8300       0.2457         0.6124         20.6401        0.0046         0.0470         11.2578        8.3528         342.0027       
400.0000       7.9083         14.0000        4.2818         563.0825       197.4179       165.3348       22.4920        558.4858       178.8246       304.5362       304.2904       304.4133       185.2005       183.5898       184.3951       461.9568       458.5493       460.2541       0.2480         0.6057         20.5379        0.0044         0.0447         11.3364        8.4318         344.1955       
400.0000       7.8591         16.0000        4.3087         573.3034       203.4437       172.0358       22.9103        567.4857       182.5218       312.1248       311.8731       311.9990       187.7665       186.2053       186.9859       469.2109       465.8943       467.5535       0.2502         0.5993         20.4366        0.0042         0.0427         11.4138        8.5095         346.3342       
400.0000       7.8138         18.0000        4.3336         583.4427       209.4698       178.7263       23.3212        576.4334       186.1651       319.6849       319.4275       319.5562       190.2898       188.7664       189.5281       476.3540       473.1050       474.7304       0.2524         0.5931         20.3360        0.0040         0.0412         11.4913        8.5871         348.4333       
400.0000       7.7678         20.0000        4.3593         593.4994       215.4956       185.4059       23.7249        585.3279       189.7540       327.2157       326.9529       327.0843       192.7699       191.2735       192.0217       483.3854       480.1821       481.7846       0.2545         0.5871         20.2358        0.0039         0.0399         11.5656        8.6621         350.4601       
400.0000       7.7171         22.0000        4.3879         603.4724       221.5209       192.0740       24.1215        594.1683       193.2879       334.7167       334.4487       334.5827       195.2066       193.7270       194.4668       490.3046       487.1262       488.7162       0.2566         0.5812         20.1358        0.0038         0.0390         11.6337        8.7322         352.3850       
400.0000       7.6663         24.0000        4.4170         613.3634       227.5461       198.7313       24.5110        602.9559       196.7678       342.1889       341.9158       342.0523       197.6004       196.1282       196.8643       497.1136       493.9407       495.5279       0.2586         0.5755         20.0359        0.0037         0.0383         11.6990        8.8000         354.2443       
400.0000       7.6202         26.0000        4.4437         623.1739       233.5717       205.3783       24.8933        611.6923       200.1944       349.6330       349.3550       349.4940       199.9521       198.4785       199.2153       503.8140       500.6285       502.2220       0.2605         0.5700         19.9360        0.0037         0.0379         11.7654        8.8685         356.0780       
400.0000       7.5760         28.0000        4.4696         632.9034       239.5973       212.0148       25.2685        620.3766       203.5674       357.0486       356.7660       356.9073       202.2613       200.7782       201.5198       510.4056       507.1904       508.7987       0.2624         0.5646         19.8359        0.0037         0.0377         11.8308        8.9360         357.8655       
400.0000       7.5307         30.0000        4.4965         642.5511       245.6229       218.6405       25.6367        629.0084       206.8866       364.4354       364.1484       364.2919       204.5279       203.0276       203.7778       516.8880       513.6268       515.2581       0.2643         0.5594         19.7355        0.0037         0.0377         11.8929        9.0009         359.5853       
400.0000       7.4891         32.0000        4.5215         652.1187       251.6488       225.2559       25.9978        637.5889       210.1526       371.7942       371.5030       371.6486       206.7524       205.2278       205.9901       523.2628       519.9406       521.6025       0.2661         0.5543         19.6347        0.0037         0.0379         11.9557        9.0662         361.2775       
400.0000       7.4555         34.0000        4.5419         661.6074       257.6756       231.8617       26.3518        646.1194       213.3662       379.1258       378.8306       378.9782       208.9354       207.3799       208.1576       529.5315       526.1341       527.8336       0.2679         0.5493         19.5336        0.0037         0.0383         12.0228        9.1346         362.9792       
400.0000       7.4242         36.0000        4.5610         671.0157       263.7026       238.4571       26.6987        654.5985       216.5266       386.4293       386.1303       386.2798       211.0762       209.4837       210.2799       535.6928       532.2067       533.9506       0.2696         0.5444         19.4318        0.0038         0.0388         12.0898        9.2028         364.6459       
400.0000       7.3886         38.0000        4.5830         680.3419       269.7292       245.0414       27.0389        663.0247       219.6330       393.7036       393.4011       393.5523       213.1742       211.5390       212.3566       541.7452       538.1579       539.9524       0.2713         0.5396         19.3294        0.0039         0.0394         12.1513        9.2667         366.2250       
400.0000       7.3494         40.0000        4.6075         689.5863       275.7555       251.6147       27.3724        671.3982       222.6856       400.9490       400.6431       400.7960       215.2297       213.5463       214.3880       547.6892       543.9887       545.8398       0.2730         0.5349         19.2263        0.0039         0.0402         12.2077        9.3268         367.7211       
400.0000       7.3088         42.0000        4.6330         698.7497       281.7818       258.1773       27.6992        679.7196       225.6848       408.1657       407.8568       408.0113       217.2429       215.5064       216.3746       553.5255       549.7009       551.6141       0.2747         0.5303         19.1223        0.0040         0.0410         12.2612        9.3843         369.1548       
400.0000       7.2698         44.0000        4.6579         707.8331       287.8082       264.7295       28.0191        687.9899       228.6310       415.3545       415.0426       415.1986       219.2141       217.4199       218.3170       559.2552       555.2959       557.2766       0.2763         0.5258         19.0176        0.0041         0.0420         12.3139        9.4413         370.5512       
400.0000       7.2345         46.0000        4.6806         716.8372       293.8352       271.2717       28.3321        696.2095       231.5245       422.5157       422.2011       422.3584       221.1437       219.2874       220.2156       564.8790       560.7752       562.8281       0.2779         0.5214         18.9120        0.0042         0.0431         12.3680        9.4992         371.9296       
400.0000       7.2014         48.0000        4.7022         725.7615       299.8625       277.8037       28.6383        704.3783       234.3653       429.6490       429.3320       429.4905       223.0315       221.1092       222.0703       570.3965       566.1390       568.2689       0.2795         0.5171         18.8055        0.0043         0.0442         12.4221        9.5571         373.2793       
400.0000       7.1687         50.0000        4.7236         734.6057       305.8899       284.3252       28.9378        712.4958       237.1532       436.7542       436.4351       436.5946       224.8773       222.8854       223.8813       575.8074       571.3877       573.5988       0.2810         0.5128         18.6980        0.0044         0.0454         12.4749        9.6139         374.5854       
400.0000       7.1363         52.0000        4.7450         743.3699       311.9175       290.8363       29.2306        720.5621       239.8881       443.8314       443.5103       443.6708       226.6813       224.6162       225.6487       581.1119       576.5219       578.8182       0.2826         0.5086         18.5895        0.0046         0.0467         12.5263        9.6696         375.8485       
400.0000       7.1044         54.0000        4.7663         752.0543       317.9453       297.3371       29.5167        728.5772       242.5702       450.8805       450.5577       450.7191       228.4434       226.3020       227.3727       586.3101       581.5422       583.9275       0.2841         0.5045         18.4801        0.0047         0.0480         12.5765        9.7243         377.0705       
400.0000       7.0720         56.0000        4.7882         760.6585       323.9732       303.8273       29.7962        736.5410       245.1994       457.9015       457.5772       457.7394       230.1636       227.9431       229.0534       591.4018       586.4489       588.9268       0.2856         0.5004         18.3696        0.0048         0.0494         12.6246        9.7774         378.2426       
400.0000       7.0383         58.0000        4.8111         769.1826       330.0011       310.3070       30.0692        744.4534       247.7756       464.8943       464.5687       464.7315       231.8420       229.5395       230.6907       596.3869       591.2425       593.8162       0.2870         0.4964         18.2580        0.0050         0.0509         12.6700        9.8283         379.3597       
400.0000       7.0058         60.0000        4.8334         777.6272       336.0292       316.7764       30.3356        752.3151       250.2993       471.8593       471.5326       471.6960       233.4787       231.0918       232.2852       601.2661       595.9239       598.5967       0.2885         0.4924         18.1453        0.0051         0.0523         12.7149        9.8788         380.4441       
400.0000       6.9766         62.0000        4.8537         785.9930       342.0579       323.2358       30.5952        760.1264       252.7706       478.7968       478.4694       478.6331       235.0740       232.6004       233.8372       606.0398       600.4942       603.2688       0.2899         0.4886         18.0315        0.0053         0.0539         12.7612        9.9304         381.5154       
400.0000       6.9482         64.0000        4.8735         794.2793       348.0868       329.6850       30.8482        767.8870       255.1894       485.7066       485.3786       485.5426       236.6276       234.0653       235.3464       610.7075       604.9532       607.8323       0.2914         0.4847         17.9166        0.0054         0.0554         12.8069        9.9814         382.5523       
400.0000       6.9181         66.0000        4.8947         802.4856       354.1157       336.1236       31.0948        775.5963       257.5554       492.5881       492.2598       492.4240       238.1394       235.4865       236.8130       615.2687       609.3007       612.2867       0.2928         0.4809         17.8005        0.0056         0.0570         12.8496        10.0301        383.5330       
400.0000       6.8884         68.0000        4.9158         810.6125       360.1448       342.5518       31.3349        783.2549       259.8688       499.4419       499.1134       499.2776       239.6097       236.8644       238.2370       619.7239       613.5376       616.6329       0.2942         0.4772         17.6834        0.0058         0.0586         12.8913        10.0780        384.4759       
400.0000       6.8613         70.0000        4.9353         818.6606       366.1744       348.9701       31.5684        790.8631       262.1299       506.2682       505.9398       506.1040       241.0386       238.1993       239.6189       624.0735       617.6646       620.8713       0.2955         0.4735         17.5650        0.0059         0.0602         12.9339        10.1266        385.4023       
400.0000       6.8353         72.0000        4.9540         826.6296       372.2043       355.3781       31.7953        798.4209       264.3387       513.0668       512.7388       512.9028       242.4260       239.4914       240.9587       628.3172       621.6819       625.0020       0.2969         0.4698         17.4455        0.0061         0.0619         12.9764        10.1752        386.3012       
400.0000       6.8090         74.0000        4.9731         834.5192       378.2343       361.7758       32.0158        805.9278       266.4949       519.8376       519.5101       519.6738       243.7718       240.7406       242.2562       632.4546       625.5893       629.0246       0.2983         0.4662         17.3249        0.0063         0.0636         13.0172        10.2224        387.1572       
400.0000       6.7823         76.0000        4.9927         842.3293       384.2645       368.1631       32.2298        813.3839       268.5987       526.5804       526.2538       526.4171       245.0761       241.9472       243.5116       636.4858       629.3871       632.9392       0.2996         0.4626         17.2030        0.0064         0.0653         13.0564        10.2683        387.9707       
400.0000       6.7556         78.0000        5.0125         850.0603       390.2949       374.5400       32.4375        820.7893       270.6500       533.2955       532.9699       533.1327       246.3389       243.1113       244.7251       640.4108       633.0758       636.7462       0.3009         0.4590         17.0800        0.0066         0.0670         13.0943        10.3132        388.7461       
400.0000       6.7293         80.0000        5.0320         857.7121       396.3254       380.9067       32.6388        828.1442       272.6490       539.9829       539.6586       539.8208       247.5602       244.2330       245.8966       644.2296       636.6555       640.4456       0.3023         0.4555         16.9558        0.0068         0.0687         13.1314        10.3575        389.4881       
500.0000       8.3593         0.0000         4.0508         485.1851       154.1606       116.7252       19.3311        490.6356       149.2876       248.4698       248.2727       248.3712       164.3772       161.9118       163.1445       404.0341       398.9992       401.5197       0.2306         0.6569         21.0894        0.0076         0.0769         10.7244        7.8303         326.1067       
500.0000       8.2829         2.0000         4.0882         496.0434       160.1861       123.5061       19.8273        500.0464       153.4044       256.2811       256.0769       256.1790       167.2765       164.9791       166.1278       412.1569       407.4391       409.8005       0.2334         0.6485         20.9834        0.0069         0.0704         10.8095        7.9160         328.6771       
500.0000       8.2127         4.0000         4.1231         506.8174       166.2115       130.2760       20.3155        509.4029       157.4656       264.0628       263.8517       263.9572       170.1318       167.9819       169.0568       420.1608       415.7221       417.9436       0.2361         0.6405         20.8799        0.0064         0.0648         10.8944        8.0012         331.1948       
500.0000       8.1484         6.0000         4.1557         517.5073       172.2369       137.0350       20.7956        518.7054       161.4714       271.8149       271.5970       271.7059       172.9431       170.9217       171.9324       428.0473       423.8520       425.9515       0.2387         0.6328         20.7786        0.0059         0.0599         10.9793        8.0859         333.6617       
500.0000       8.0893         8.0000         4.1860         528.1135       178.2623       143.7831       21.2677        527.9540       165.4220       279.5376       279.3130       279.4253       175.7107       173.8001       174.7554       435.8174       431.8324       433.8265       0.2412         0.6254         20.6791        0.0055         0.0558         11.0641        8.1702         336.0797       
500.0000       8.0347         10.0000        4.2145         538.6360       184.2877       150.5202       21.7319        537.1489       169.3174       287.2308       286.9997       287.1153       178.4346       176.6186       177.5266       443.4721       439.6662       441.5706       0.2437         0.6183         20.5810        0.0051         0.0522         11.1485        8.2538         338.4471       
500.0000       7.9822         12.0000        4.2422         549.0742       190.3128       157.2462       22.1882        546.2894       173.1574       294.8943       294.6568       294.7755       181.1146       179.3781       180.2464       451.0115       447.3556       449.1848       0.2460         0.6115         20.4839        0.0048         0.0492         11.2311        8.3359         340.7504       
500.0000       7.9299         14.0000        4.2701         559.4279       196.3374       163.9609       22.6369        555.3753       176.9418       302.5277       302.2841       302.4059       183.7505       182.0796       182.9151       458.4360       454.9025       456.6704       0.2483         0.6049         20.3877        0.0046         0.0467         11.3107        8.4154         342.9794       
500.0000       7.8801         16.0000        4.2971         569.6982       202.3620       170.6645       23.0779        564.4075       180.6712       310.1318       309.8822       310.0070       186.3430       184.7246       185.5338       465.7474       462.3107       464.0300       0.2505         0.5985         20.2920        0.0044         0.0446         11.3891        8.4937         345.1525       
500.0000       7.8343         18.0000        4.3223         579.8862       208.3867       177.3576       23.5113        573.3869       184.3463       317.7070       317.4516       317.5793       188.8923       187.3143       188.1033       472.9469       469.5829       471.2658       0.2527         0.5923         20.1968        0.0042         0.0429         11.4674        8.5718         347.2846       
500.0000       7.7879         20.0000        4.3480         589.9901       214.4109       184.0393       23.9373        582.3121       187.9661       325.2524       324.9914       325.1219       191.3979       189.8492       190.6235       480.0335       476.7196       478.3774       0.2548         0.5863         20.1018        0.0041         0.0416         11.5425        8.6472         349.3429       
500.0000       7.7367         22.0000        4.3768         600.0088       220.4344       190.7092       24.3559        591.1820       191.5302       332.7672       332.5009       332.6341       193.8593       192.3294       193.0943       487.0065       483.7213       485.3648       0.2568         0.5805         20.0067        0.0040         0.0406         11.6113        8.7177         351.2981       
500.0000       7.6854         24.0000        4.4060         609.9445       226.4575       197.3680       24.7672        599.9983       195.0395       340.2527       339.9811       340.1169       196.2774       194.7565       195.5170       493.8683       490.5919       492.2309       0.2588         0.5749         19.9115        0.0039         0.0398         11.6773        8.7860         353.1865       
500.0000       7.6389         26.0000        4.4329         619.7990       232.4810       204.0165       25.1711        608.7628       198.4952       347.7099       347.4333       347.5716       198.6530       197.1322       197.8926       500.6211       497.3347       498.9787       0.2607         0.5694         19.8161        0.0038         0.0394         11.7444        8.8548         355.0480       
500.0000       7.5941         28.0000        4.4590         629.5717       238.5045       210.6542       25.5678        617.4747       201.8968       355.1382       354.8569       354.9975       200.9858       199.4565       200.2212       507.2642       503.9502       505.6080       0.2626         0.5640         19.7204        0.0038         0.0391         11.8104        8.9227         356.8622       
500.0000       7.5484         30.0000        4.4860         639.2615       244.5277       217.2809       25.9573        626.1332       205.2440       362.5372       362.2513       362.3943       203.2754       201.7299       202.5027       513.7972       510.4390       512.1189       0.2645         0.5588         19.6242        0.0038         0.0391         11.8731        8.9880         358.6076       
500.0000       7.5063         32.0000        4.5111         648.8705       250.5512       223.8972       26.3395        634.7401       208.5376       369.9080       369.6177       369.7629       205.5227       203.9537       204.7382       520.2221       516.8042       518.5139       0.2663         0.5537         19.5275        0.0038         0.0392         11.9365        9.0536         360.3244       
500.0000       7.4723         34.0000        4.5317         658.4004       256.5756       230.5039       26.7144        643.2968       211.7786       377.2516       376.9572       377.1044       207.7282       206.1289       206.9286       526.5406       523.0485       524.7954       0.2681         0.5487         19.4303        0.0039         0.0396         12.0041        9.1222         362.0498       
500.0000       7.4405         36.0000        4.5510         667.8492       262.6001       237.1001       27.0820        651.8015       214.9661       384.5667       384.2684       384.4176       209.8913       208.2554       209.0734       532.7512       529.1710       530.9619       0.2698         0.5439         19.3324        0.0039         0.0401         12.0715        9.1907         363.7392       
500.0000       7.4045         38.0000        4.5732         677.2149       268.6240       243.6849       27.4429        660.2524       218.0989       391.8522       391.5501       391.7012       212.0112       210.3328       211.1720       538.8519       535.1707       537.0122       0.2715         0.5391         19.2336        0.0040         0.0407         12.1334        9.2548         365.3402       
500.0000       7.3648         40.0000        4.5978         686.4977       274.6474       250.2583       27.7970        668.6498       221.1773       399.1082       398.8026       398.9554       214.0880       212.3615       213.2248       544.8432       541.0488       542.9469       0.2732         0.5345         19.1339        0.0040         0.0414         12.1903        9.3151         366.8576       
500.0000       7.3238         42.0000        4.6235         695.6987       280.6706       256.8208       28.1442        676.9946       224.2018       406.3352       406.0264       406.1808       216.1222       214.3425       215.2324       550.7262       546.8072       548.7677       0.2748         0.5299         19.0334        0.0041         0.0423         12.2442        9.3729         368.3118       
500.0000       7.2844         44.0000        4.6486         704.8190       286.6940       263.3729       28.4845        685.2877       227.1731       413.5339       413.2221       413.3780       218.1141       216.2766       217.1954       556.5020       552.4478       554.4759       0.2764         0.5254         18.9319        0.0042         0.0432         12.2973        9.4301         369.7281       
500.0000       7.2487         46.0000        4.6715         713.8596       292.7177       269.9148       28.8177        693.5299       230.0914       420.7049       420.3902       420.5475       220.0642       218.1644       219.1143       562.1715       557.9720       560.0729       0.2780         0.5210         18.8295        0.0043         0.0443         12.3517        9.4881         371.1256       
500.0000       7.2151         48.0000        4.6932         722.8200       298.7418       276.4464       29.1440        701.7208       232.9567       427.8478       427.5306       427.6892       221.9723       220.0060       220.9891       567.7344       563.3801       565.5585       0.2796         0.5167         18.7261        0.0044         0.0454         12.4062        9.5462         372.4938       
500.0000       7.1820         50.0000        4.7148         731.6997       304.7659       282.9674       29.4635        709.8600       235.7687       434.9623       434.6428       434.8025       223.8381       221.8017       222.8199       573.1903       568.6724       570.9326       0.2812         0.5125         18.6216        0.0046         0.0466         12.4592        9.6031         373.8178       
500.0000       7.1492         52.0000        4.7365         740.4989       310.7900       289.4779       29.7763        717.9476       238.5275       442.0485       441.7269       441.8877       225.6618       223.5517       224.6068       578.5392       573.8495       576.1957       0.2827         0.5083         18.5160        0.0047         0.0479         12.5109        9.6589         375.0982       
500.0000       7.1170         54.0000        4.7579         749.2176       316.8143       295.9778       30.0823        725.9835       241.2331       449.1065       448.7830       448.9447       227.4435       225.2564       226.3500       583.7813       578.9120       581.3481       0.2842         0.5042         18.4094        0.0048         0.0493         12.5614        9.7138         376.3369       
500.0000       7.0841         56.0000        4.7800         757.8556       322.8385       302.4671       30.3816        733.9677       243.8855       456.1360       455.8108       455.9734       229.1830       226.9160       228.0495       588.9164       583.8603       586.3899       0.2857         0.5001         18.3016        0.0050         0.0507         12.6097        9.7669         377.5253       
500.0000       7.0500         58.0000        4.8031         766.4128       328.8625       308.9455       30.6744        741.9000       246.4846       463.1370       462.8104       462.9737       230.8803       228.5306       229.7054       593.9444       588.6947       591.3212       0.2871         0.4962         18.1926        0.0051         0.0521         12.6553        9.8179         378.6582       
500.0000       7.0172         60.0000        4.8256         774.8901       334.8868       315.4137       30.9605        749.7811       249.0309       470.1100       469.7822       469.9461       232.5358       230.1008       231.3183       598.8662       593.4166       596.1431       0.2886         0.4922         18.0825        0.0053         0.0536         12.7004        9.8684         379.7579       
500.0000       6.9876         62.0000        4.8460         783.2883       340.9115       321.8718       31.2397        757.6119       251.5247       477.0554       476.7267       476.8911       234.1498       231.6271       232.8884       603.6823       598.0269       600.8564       0.2900         0.4883         17.9712        0.0054         0.0551         12.7470        9.9201         380.8440       
500.0000       6.9588         64.0000        4.8661         791.6066       346.9364       328.3195       31.5123        765.3915       253.9656       483.9729       483.6435       483.8082       235.7219       233.1095       234.4157       608.3920       602.5254       605.4607       0.2914         0.4845         17.8588        0.0056         0.0567         12.7928        9.9712         381.8953       
500.0000       6.9283         66.0000        4.8875         799.8444       352.9612       334.7565       31.7785        773.1193       256.3535       490.8618       490.5320       490.6969       237.2520       234.5478       235.8999       612.9948       606.9119       609.9555       0.2928         0.4807         17.7451        0.0057         0.0583         12.8357        10.0199        382.8900       
500.0000       6.8983         68.0000        4.9088         808.0023       358.9861       341.1830       32.0382        780.7960       258.6886       497.7227       497.3926       497.5577       238.7403       235.9427       237.3415       617.4912       611.1873       614.3415       0.2942         0.4770         17.6302        0.0059         0.0600         12.8774        10.0678        383.8466       
500.0000       6.8707         70.0000        4.9285         816.0812       365.0114       347.5994       32.2911        788.4222       260.9713       504.5561       504.2260       504.3911       240.1871       237.2944       238.7407       621.8819       615.3525       618.6196       0.2956         0.4733         17.5141        0.0061         0.0616         12.9202        10.1164        384.7862       
500.0000       6.8444         72.0000        4.9474         824.0806       371.0370       354.0055       32.5374        795.9977       263.2014       511.3617       511.0318       511.1967       241.5923       238.6030       240.0977       626.1664       619.4076       622.7895       0.2970         0.4697         17.3968        0.0062         0.0633         12.9628        10.1650        385.6979       
500.0000       6.8177         74.0000        4.9668         832.0002       377.0625       360.4012       32.7773        803.5220       265.3787       518.1391       517.8097       517.9744       242.9557       239.8686       241.4122       630.3443       623.3525       626.8511       0.2983         0.4661         17.2783        0.0064         0.0650         13.0037        10.2122        386.5664       
500.0000       6.7906         76.0000        4.9866         839.8399       383.0882       366.7863       33.0108        810.9951       267.5034       524.8885       524.5597       524.7241       244.2775       241.0913       242.6844       634.4157       627.1873       630.8043       0.2996         0.4625         17.1585        0.0066         0.0667         13.0429        10.2580        387.3921       
500.0000       6.7636         78.0000        5.0065         847.6001       389.1139       373.1609       33.2379        818.4173       269.5754       531.6098       531.2820       531.4459       245.5576       242.2713       243.9144       638.3806       630.9126       634.6496       0.3010         0.4590         17.0376        0.0067         0.0684         13.0809        10.3029        388.1795       
500.0000       6.7369         80.0000        5.0263         855.2808       395.1397       379.5252       33.4586        825.7886       271.5949       538.3034       537.9766       538.1400       246.7961       243.4089       245.1025       642.2391       634.5286       638.3870       0.3023         0.4555         16.9153        0.0069         0.0702         13.1180        10.3472        388.9330       
600.0000       8.3850         0.0000         4.0384         481.1168       153.0765       115.3146       19.3086        487.2458       147.1413       246.3212       246.1274       246.2243       162.7122       160.1460       161.4291       400.0497       394.8089       397.4326       0.2310         0.6556         20.8881        0.0079         0.0809         10.6897        7.8084         324.5695       
600.0000       8.3081         2.0000         4.0758         492.0336       159.1016       122.0997       19.8300        496.6954       151.2957       254.1516       253.9506       254.0511       165.6423       163.2516       164.4469       408.2377       403.3285       405.7859       0.2338         0.6473         20.7902        0.0073         0.0740         10.7762        7.8950         327.1904       
600.0000       8.2373         4.0000         4.1108         502.8647       165.1265       128.8736       20.3429        506.0899       155.3937       261.9519       261.7437       261.8478       168.5277       166.2910       167.4094       416.3058       411.6885       413.9995       0.2365         0.6393         20.6944        0.0067         0.0680         10.8626        7.9811         329.7557       
600.0000       8.1724         6.0000         4.1435         513.6104       171.1513       135.6364       20.8474        515.4293       159.4356       269.7220       269.5069       269.6145       171.3686       169.2662       170.3174       424.2552       419.8929       422.0760       0.2391         0.6317         20.6004        0.0062         0.0629         10.9488        8.0666         332.2678       
600.0000       8.1127         8.0000         4.1739         524.2712       177.1759       142.3881       21.3435        524.7141       163.4215       277.4623       277.2404       277.3513       174.1651       172.1788       173.1720       432.0872       427.9454       430.0180       0.2416         0.6244         20.5078        0.0057         0.0585         11.0348        8.1516         334.7285       
