#Y. Zhao, Z. Wu, S. Hao, W. Wang, X. Deng, J. Song, Elastic properties of fe-bearing akimotoite at mantle conditions: Implications for composition and temperature in lower mantle transition zone, Fundamental Research 2 (2022) 570–577.
#T(K)	V(Ang^3/atom)	P(GPa)	rho(None)	C11(GPa)	C12(GPa)	C13(GPa)	C14(GPa)	C15(GPa)	C33(GPa)	C44(GPa)
300	5.99484	26	1	577.97976	237.15876	188.99016	-9.41524	35.97608	475.20492	144.67044
300	5.98303	27	1	582.88054	240.56529	192.80714	-9.14821	36.32882	479.30143	146.12901
300	5.96178	28	1	587.73984	243.97584	196.61344	-8.88016	36.67072	483.33328	147.55696
300	5.94541	29	1	592.55766	247.39041	200.40906	-8.61109	37.00178	487.30047	148.95429
300	5.92308	30	1	597.334	250.809	204.194	-8.341	37.322	491.203	150.321
1000	6.81261	0	1	400	142	75	-17	15	318	81
1000	6.77248	1	1	406.80288	145.37335	79.26395	-16.75944	15.78203	324.48023	83.61077
1000	6.73431	2	1	413.55152	148.7534	83.5158	-16.51776	16.54812	330.88092	86.18308
1000	6.6993	3	1	420.24592	152.14015	87.75555	-16.27496	17.29827	337.20207	88.71693
1000	6.66554	4	1	426.88608	155.5336	91.9832	-16.03104	18.03248	343.44368	91.21232
1000	6.62882	5	1	433.472	158.93375	96.19875	-15.786	18.75075	349.60575	93.66925
1000	6.59717	6	1	440.00368	162.3406	100.4022	-15.53984	19.45308	355.68828	96.08772
1000	6.56515	7	1	446.48112	165.75415	104.59355	-15.29256	20.13947	361.69127	98.46773
1000	6.53426	8	1	452.90432	169.1744	108.7728	-15.04416	20.80992	367.61472	100.80928
1000	6.50162	9	1	459.27328	172.60135	112.93995	-14.79464	21.46443	373.45863	103.11237
1000	6.46759	10	1	465.588	176.035	117.095	-14.544	22.103	379.223	105.377
1000	6.43774	11	1	471.84848	179.47535	121.23795	-14.29224	22.72563	384.90783	107.60317
1000	6.41376	12	1	478.05472	182.9224	125.3688	-14.03936	23.33232	390.51312	109.79088
1000	6.38747	13	1	484.20672	186.37615	129.48755	-13.78536	23.92307	396.03887	111.94013
1000	6.36195	14	1	490.30448	189.8366	133.5942	-13.53024	24.49788	401.48508	114.05092
1000	6.32707	15	1	496.348	193.30375	137.68875	-13.274	25.05675	406.85175	116.12325
