Output data for Orthorhombic structure, Space-Group Number between 16 and 74: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
700.0000       9.9862         7.0000         1.7423         272.6141       110.6912       96.8400        216.9687       92.4007        257.1747       89.5626        82.6983        91.3616        149.6246       148.1279       148.8762       82.5129        81.0282        81.7705        209.1012       205.5965       207.3493       0.2679         0.5493         10.0446        0.0091         0.1017         12.1665        9.2438         333.2198       
700.0000       9.9180         8.0000         1.7543         279.6813       115.7006       102.6691       223.5395       98.8409        266.2548       90.7288        83.7603        93.2283        155.9885       154.5070       155.2477       83.6945        82.1578        82.9262        212.9906       209.3642       211.1780       0.2733         0.5342         9.7302         0.0093         0.1031         12.3094        9.4072         335.4026       
700.0000       9.8498         9.0000         1.7665         286.7447       120.7068       108.4923       230.1026       105.2740       275.3214       91.8928        84.8186        95.0930        162.3461       160.8681       161.6071       84.8739        83.2817        84.0778        216.8349       213.0752       214.9557       0.2783         0.5203         9.4436         0.0095         0.1048         12.4479        9.5649         337.5424       
700.0000       9.7816         10.0000        1.7788         293.8043       125.7098       114.3097       236.6580       111.7001       284.3746       93.0546        85.8731        96.9557        168.6973       167.2119       167.9546       86.0511        84.4000        85.2256        220.6382       216.7345       218.6871       0.2830         0.5074         9.1816         0.0097         0.1067         12.5820        9.7171         339.6409       
800.0000       10.5874        0.0000         1.6434         210.9304       68.3878        44.5282        155.1493       33.8454        167.4831       76.6958        68.1444        73.5378        91.8984        88.9349        90.4166        69.4624        68.1004        68.7814        166.4495       162.7581       164.6049       0.1966         0.7607         14.2576        0.0099         0.1333         10.5273        7.4175         306.1142       
800.0000       10.4999        1.0000         1.6571         219.8265       74.5447        52.2819        164.3355       42.5431        180.9876       78.6464        70.4522        76.1462        100.4321       97.8584        99.1453        71.4343        70.1058        70.7700        173.2314       169.7750       171.5036       0.2117         0.7138         13.2884        0.0094         0.1211         10.8063        7.7351         310.5855       
800.0000       10.4126        2.0000         1.6710         228.7102       80.6916        60.0180        173.4983       51.2196        194.4516       80.5901        72.7487        78.7484        108.9465       106.6996       107.8231       73.3995        72.0818        72.7407        179.8165       176.5001       178.1583       0.2246         0.6746         12.4945        0.0091         0.1125         11.0711        8.0329         314.8923       
800.0000       10.3254        3.0000         1.6851         237.5819       86.8289        67.7371        182.6382       59.8753        207.8763       82.5271        75.0343        81.3446        117.4421       115.4638       116.4529       75.3582        74.0334        74.6958        186.2402       182.9902       184.6152       0.2358         0.6414         11.8344        0.0089         0.1066         11.3231        8.3131         319.0522       
800.0000       10.2384        4.0000         1.6994         246.4418       92.9569        75.4397        191.7560       68.5110        221.2628       84.4577        77.3094        83.9350        125.9195       124.1558       125.0377       77.3106        75.9640        76.6373        192.5295       189.2873       190.9085       0.2455         0.6129         11.2786        0.0088         0.1028         11.5632        8.5777         323.0794       
800.0000       10.1516        5.0000         1.7139         255.2903       99.0758        83.1262        200.8523       77.1272        234.6123       86.3820        79.5743        86.5197        134.3793       132.7801       133.5797       79.2569        77.8763        78.5666        198.7052       195.4234       197.0645       0.2541         0.5882         10.8056        0.0088         0.1007         11.7923        8.8282         326.9854       
800.0000       10.0817        6.0000         1.7258         262.4600       104.1717       89.1118        207.6316       83.7578        244.0552       87.6093        80.7377        88.4396        140.9144       139.3707       140.1425       80.4977        79.0752        79.7864        202.8642       199.4959       201.1804       0.2607         0.5693         10.4100        0.0089         0.1010         11.9518        9.0113         329.3929       
800.0000       10.0118        7.0000         1.7379         269.6247       109.2635       95.0898        214.4009       90.3793        253.4808       88.8337        81.8963        90.3571        147.4413       145.9380       146.6896       81.7357        80.2664        81.0010        206.9629       203.4921       205.2280       0.2668         0.5522         10.0540        0.0091         0.1018         12.1060        9.1874         331.7478       
800.0000       9.9421         8.0000         1.7501         276.7845       114.3511       101.0605       221.1603       96.9918        262.8891       90.0553        83.0501        92.2720        153.9601       152.4828       153.2215       82.9708        81.4507        82.2107        211.0077       207.4200       209.2144       0.2724         0.5365         9.7323         0.0092         0.1030         12.2551        9.3570         334.0529       
800.0000       9.8724         9.0000         1.7624         283.9397       119.4348       107.0238       227.9100       103.5954       272.2806       91.2739        84.1991        94.1844        160.4709       159.0061       159.7385       84.2032        82.6283        83.4158        215.0037       211.2862       213.1456       0.2776         0.5222         9.4403         0.0094         0.1045         12.3994        9.5203         336.3104       
800.0000       9.8028         10.0000        1.7749         291.0901       124.5145       112.9800       234.6502       110.1903       281.6554       92.4898        85.3435        96.0943        166.9739       165.5085       166.2412       85.4329        83.7996        84.6163        218.9556       215.0965       217.0268       0.2824         0.5090         9.1744         0.0097         0.1063         12.5390        9.6779         338.5226       
900.0000       10.6250        0.0000         1.6376         207.1656       66.3348        41.6697        151.0989       30.4783        161.2292       75.5331        66.6333        72.1447        88.4955        85.2853        86.8904        68.2629        66.8687        67.5658        162.9026       159.0403       160.9732       0.1912         0.7776         14.5228        0.0103         0.1419         10.3958        7.2843         303.4038       
900.0000       10.5356        1.0000         1.6515         216.1827       72.5882        49.5936        160.5129       39.3825        175.1262       77.5503        69.0495        74.8132        97.2167        94.4534        95.8350        70.2998        68.9541        69.6269        169.9374       166.3756       168.1571       0.2076         0.7265         13.4710        0.0097         0.1268         10.6885        7.6178         308.1020       
900.0000       10.4464        2.0000         1.6656         225.1849       78.8296        57.4963        169.8989       48.2611        188.9748       79.5593        71.4523        77.4742        105.9148       103.5265       104.7206       72.3286        71.0046        71.6666        176.7516       173.3766       175.0642       0.2214         0.6844         12.6197        0.0092         0.1163         10.9657        7.9293         312.6152       
900.0000       10.3575        3.0000         1.6799         234.1727       85.0595        65.3787        179.2574       57.1150        202.7762       81.5603        73.8421        80.1281        114.5903       112.5111       113.5507       74.3496        73.0264        73.6880        183.3867       180.1116       181.7491       0.2332         0.6489         11.9190        0.0090         0.1091         11.2287        8.2216         316.9647       
900.0000       10.2688        4.0000         1.6944         243.1464       91.2782        73.2413        188.5895       65.9448        216.5319       83.5536        76.2192        82.7750        123.2441       121.4131       122.3286       76.3631        75.0238        75.6935        189.8736       186.6304       188.2520       0.2435         0.6188         11.3341        0.0088         0.1043         11.4788        8.4969         321.1673       
900.0000       10.1803        5.0000         1.7091         252.1065       97.4860        81.0846        197.8958       74.7513        230.2432       85.5393        78.5841        85.4151        131.8766       130.2377       131.0571       78.3693        77.0000        77.6846        196.2359       192.9702       194.6033       0.2525         0.5928         10.8401        0.0088         0.1015         11.7169        8.7568         325.2365       
900.0000       10.1088        6.0000         1.7212         259.3709       102.6620       87.2149        204.8680       81.5581        240.0218       86.8231        79.8413        87.3843        138.5701       137.0035       137.7868       79.6648        78.2556        78.9602        200.5600       197.2170       198.8888       0.2594         0.5731         10.4310        0.0089         0.1015         11.8836        8.9473         327.7785       
900.0000       10.0375        7.0000         1.7334         266.6294       107.8329       93.3362        211.8281       88.3540        249.7796       88.1035        81.0928        89.3505        145.2537       143.7417       144.4977       80.9570        79.5026        80.2298        204.8190       201.3804       203.1001       0.2657         0.5552         10.0648        0.0091         0.1020         12.0446        9.1302         330.2625       
900.0000       9.9662         8.0000         1.7458         273.8821       112.9990       99.4487        218.7764       95.1390        259.5168       89.3804        82.3384        91.3137        151.9276       150.4535       151.1906       82.2457        80.7417        81.4937        209.0198       205.4695       207.2451       0.2715         0.5390         9.7353         0.0092         0.1029         12.2001        9.3060         332.6916       
900.0000       9.8950         9.0000         1.7584         281.1291       118.1603       105.5524       225.7132       101.9134       269.2338       90.6538        83.5784        93.2740        158.5920       157.1397       157.8658       83.5312        81.9732        82.7522        213.1681       209.4918       211.3306       0.2769         0.5242         9.4376         0.0094         0.1043         12.3503        9.4752         335.0685       
900.0000       9.8240         10.0000        1.7711         288.3705       123.3168       111.6475       232.6384       108.6774       278.9308       91.9240        84.8129        95.2313        165.2470       163.8013       164.5241       84.8135        83.1976        84.0056        217.2691       213.4539       215.3622       0.2818         0.5106         9.1675         0.0096         0.1059         12.4955        9.6382         337.3959       
1000.0000      10.6625        0.0000         1.6318         203.3963       64.2794        38.8078        147.0435       27.1072        154.9677       74.3690        65.1203        70.7500        85.0885        81.6109        83.3497        67.0621        65.6284        66.3452        159.3283       155.2656       157.2996       0.1855         0.7960         14.8176        0.0108         0.1518         10.2610        7.1469         300.6453       
1000.0000      10.5713        1.0000         1.6459         212.5344       70.6293        46.9019        156.6856       36.2180        169.2576       76.4529        67.6452        73.4786        93.9973        91.0283        92.5128        69.1639        67.7962        68.4801        166.6240       162.9377       164.7818       0.2031         0.7402         13.6720        0.0100         0.1335         10.5681        7.4972         305.5801       
1000.0000      10.4803        2.0000         1.6602         221.6552       76.9653        54.9715        166.2949       45.2990        183.4910       78.5273        70.1543        76.1985        102.8792       100.3374       101.6083       71.2564        69.9229        70.5896        173.6726       170.2264       171.9498       0.2180         0.6947         12.7566        0.0094         0.1207         10.8580        7.8233         310.3069       
1000.0000      10.3897        3.0000         1.6747         230.7591       83.2879        63.0173        175.8723       54.3512        197.6695       80.5923        72.6483        78.9100        111.7348       109.5458       110.6403       73.3398        72.0160        72.6779        180.5226       177.2141       178.8684       0.2306         0.6569         12.0111        0.0091         0.1119         11.1325        8.1282         314.8516       
1000.0000      10.2992        4.0000         1.6894         239.8467       89.5973        71.0400        185.4189       63.3753        211.7948       82.6482        75.1276        81.6135        120.5651       118.6603       119.6127       75.4144        74.0809        74.7476        187.2095       183.9599       185.5847       0.2414         0.6249         11.3944        0.0089         0.1061         11.3929        8.4145         319.2341       
1000.0000      10.2090        5.0000         1.7043         248.9184       95.8941        79.0403        194.9354       72.3723        225.8683       84.6954        77.5926        84.3090        129.3706       127.6873       128.5289       77.4804        76.1214        76.8009        193.7601       190.5070       192.1337       0.2509         0.5975         10.8777        0.0088         0.1024         11.6404        8.6842         323.4701       
1000.0000      10.1360        6.0000         1.7166         256.2776       101.1502       85.3155        202.1006       79.3555        235.9830       86.0359        78.9438        86.3276        136.2226       134.6299       135.4262       78.8308        77.4342        78.1325        198.2504       194.9302       196.5906       0.2581         0.5769         10.4542        0.0089         0.1020         11.8145        8.8822         326.1491       
1000.0000      10.0632        7.0000         1.7290         263.6300       106.4005       91.5803        209.2518       86.3258        246.0734       87.3722        80.2881        88.3427        143.0632       141.5403       142.3017       80.1772        78.7372        79.4572        202.6705       199.2624       200.9668       0.2646         0.5584         10.0770        0.0091         0.1022         11.9824        9.0721         328.7644       
1000.0000      9.9904         8.0000         1.7416         270.9756       111.6451       97.8347        216.3893       93.2837        256.1399       88.7045        81.6258        90.3542        149.8924       148.4199       149.1562       81.5197        80.0312        80.7754        207.0280       203.5139       205.2714       0.2706         0.5415         9.7393         0.0092         0.1029         12.1443        9.2544         331.3194       
1000.0000      9.9177         9.0000         1.7543         278.3146       116.8840       104.0790       223.5132       100.2291       266.1827       90.0329        82.9569        92.3623        156.7105       155.2699       155.9902       82.8583        81.3168        82.0875        211.3292       207.6931       209.5118       0.2761         0.5262         9.4355         0.0094         0.1041         12.3006        9.4296         333.8175       
1000.0000      9.8452         10.0000        1.7673         285.6471       122.1174       110.3132       230.6238       107.1624       276.2023       91.3573        84.2815        94.3670        163.5177       162.0913       162.8045       84.1932        82.5944        83.3938        215.5798       211.8074       213.6943       0.2812         0.5122         9.1610         0.0096         0.1056         12.4515        9.5980         336.2613       
1100.0000      10.7001        0.0000         1.6261         199.6236       62.2222        35.9434        142.9847       23.7331        148.7007       73.2039        63.6061        69.3540        81.6785        77.9119        79.7952        65.8601        64.3790        65.1196        155.7250       151.4284       153.5805       0.1792         0.8161         15.1460        0.0114         0.1634         10.1227        7.0052         297.8368       
1100.0000      10.6070        1.0000         1.6403         208.8828       68.6687        44.2079        152.8549       33.0506        163.3838       75.3545        66.2395        72.1427        90.7751        87.5837        89.1794        68.0270        66.6322        67.3296        163.2908       159.4587       161.3762       0.1984         0.7550         13.8936        0.0104         0.1411         10.4448        7.3734         303.0188       
1100.0000      10.5143        2.0000         1.6548         218.1222       75.0993        52.4443        162.6877       42.3342        178.0023       77.4942        68.8552        74.9216        99.8409        97.1328        98.4868        70.1832        68.8367        69.5099        170.5798       167.0485       168.8145       0.2143         0.7058         12.9063        0.0097         0.1257         10.7481        7.7146         307.9671       
1100.0000      10.4218        3.0000         1.6695         227.3424       81.5145        60.6536        172.4841       51.5848        192.5581       79.6233        71.4535        77.6909        108.8767       106.5683       107.7225       72.3290        71.0023        71.6656        177.6484       174.2976       175.9731       0.2277         0.6653         12.1113        0.0093         0.1151         11.0345        8.0327         312.7129       
1100.0000      10.3297        4.0000         1.6844         236.5438       87.9148        68.8366        182.2452       60.8034        207.0532       81.7421        74.0350        80.4508        117.8835       115.8981       116.8908       74.4647        73.1354        73.8001        184.5379       181.2759       182.9069       0.2392         0.6314         11.4599        0.0090         0.1080         11.3056        8.3305         317.2799       
1100.0000      10.2378        5.0000         1.6995         245.7272       94.3007        76.9939        191.9721       69.9910        221.4892       83.8508        76.6001        83.2018        126.8622       125.1296       125.9959       76.5907        75.2409        75.9158        191.2786       188.0342       189.6565       0.2491         0.6025         10.9186        0.0089         0.1035         11.5627        8.6103         321.6864       
1100.0000      10.1633        6.0000         1.7120         253.1813       99.6369        83.4142        199.3305       77.1506        231.9402       85.2478        78.0453        85.2698        133.8728       132.2506       133.0617       77.9959        76.6111        77.3035        195.9362       192.6361       194.2864       0.2566         0.5810         10.4796        0.0090         0.1026         11.7444        8.8162         324.5051       
1100.0000      10.0889        7.0000         1.7246         260.6276       104.9666       89.8225        206.6730       84.2957        242.3635       86.6402        79.4827        87.3338        140.8704       139.3345       140.1025       79.3966        77.9704        78.6835        200.5182       197.1387       198.8288       0.2635         0.5616         10.0907        0.0091         0.1025         11.9194        9.0132         327.2539       
1100.0000      10.0146        8.0000         1.7374         268.0662       110.2897       96.2191        213.9997       91.4265        252.7595       88.0280        80.9125        89.3937        147.8551       146.3830       147.1191       80.7929        79.3195        80.0562        205.0330       201.5537       203.2938       0.2697         0.5442         9.7443         0.0092         0.1029         12.0879        9.2021         329.9368       
1100.0000      9.9405         9.0000         1.7503         275.4973       115.6064       102.6040       221.3110       98.5431        263.1286       89.4113        82.3347        91.4497        154.8271       153.3975       154.1123       82.1847        80.6592        81.4220        209.4876       205.8907       207.6897       0.2754         0.5283         9.4340         0.0094         0.1039         12.2504        9.3834         332.5575       
1100.0000      9.8664         10.0000        1.7635         282.9209       120.9169       108.9775       228.6071       105.6458       273.4711       90.7901        83.7496        93.5018        161.7866       160.3792       161.0829       83.5722        81.9901        82.7812        213.8881       210.1576       212.0236       0.2806         0.5139         9.1549         0.0096         0.1053         12.4070        9.5574         335.1192       
1200.0000      10.7377        0.0000         1.6204         195.8485       60.1637        33.0771        138.9231       20.3568        142.4296       72.0380        62.0908        67.9572        78.2663        74.1880        76.2271        64.6574        63.1199        63.8886        152.0905       147.5219       149.8118       0.1724         0.8381         15.5131        0.0120         0.1768         9.9807         6.8588         294.9755       
1200.0000      10.6428        1.0000         1.6348         205.2288       66.7067        41.5120        149.0216       29.8812        157.5059       74.2554        64.8330        70.8060        87.5507        84.1195        85.8351        66.8893        65.4615        66.1754        159.9370       155.9352       157.9383       0.1933         0.7710         14.1382        0.0108         0.1498         10.3187        7.2460         300.4166       
1200.0000      10.5483        2.0000         1.6495         214.5868       73.2320        49.9154        159.0779       39.3673        172.5097       76.4605        67.5551        73.6438        96.8004        93.9131        95.3567        69.1092        67.7460        68.4276        167.4727       163.8413       165.6577       0.2105         0.7176         13.0701        0.0100         0.1314         10.6359        7.6033         305.5949       
1200.0000      10.4541        3.0000         1.6643         223.9232       79.7399        58.2883        169.0934       48.8164        187.4431       78.6537        70.2578        76.4708        106.0166       103.5791       104.7978       71.3175        69.9853        70.6514        174.7643       171.3613       173.0630       0.2248         0.6742         12.2203        0.0094         0.1187         10.9346        7.9351         310.5483       
1200.0000      10.3602        4.0000         1.6794         233.2386       86.2311        66.6316        179.0693       58.2296        202.3081       80.8352        72.9415        79.2874        115.2001       113.1270       114.1635       73.5144        72.1876        72.8510        181.8591       178.5785       180.2188       0.2369         0.6381         11.5311        0.0091         0.1102         11.2168        8.2449         315.3046       
1200.0000      10.2666        5.0000         1.6947         242.5337       92.7061        74.9461        189.0067       67.6079        217.1068       83.0055        75.6069        82.0939        124.3519       122.5653       123.4586       75.7004        74.3586        75.0295        188.7917       185.5519       187.1719       0.2473         0.6077         10.9631        0.0089         0.1048         11.4838        8.5351         319.8854       
1200.0000      10.1905        6.0000         1.7074         250.0828       98.1226        81.5115        196.5584       74.9442        227.8944       84.4592        77.1462        84.2113        131.5213       129.8661       130.6937       77.1605        75.7866        76.4735        193.6178       190.3349       191.9765       0.2552         0.5851         10.5075        0.0090         0.1034         11.6733        8.7491         322.8466       
1200.0000      10.1146        7.0000         1.7202         257.6230       103.5316       88.0635        204.0922       82.2641        238.6509       85.9077        78.6767        86.3242        138.6761       137.1248       137.9004       78.6155        77.2023        77.9089        198.3626       195.0097       196.6864       0.2623         0.5650         10.1061        0.0091         0.1028         11.8555        8.9535         325.7311       
1200.0000      10.0388        8.0000         1.7332         265.1547       108.9334       94.6023        211.6084       89.5679        249.3766       87.3510        80.1986        88.4325        145.8163       144.3431       145.0797       80.0655        78.6068        79.3362        203.0353       199.5894       201.3128       0.2687         0.5468         9.7503         0.0092         0.1030         12.0308        9.1492         328.5438       
1200.0000      9.9632         9.0000         1.7463         272.6778       114.3279       101.1280       219.1072       96.8558        260.0721       88.7892        81.7121        90.5364        152.9423       151.5228       152.2325       81.5106        80.0008        80.7557        207.6438       204.0849       205.8649       0.2746         0.5305         9.4333         0.0093         0.1037         12.1996        9.3366         331.2888       
1200.0000      9.8877         10.0000        1.7597         280.1925       119.7154       107.6408       226.5889       104.1281       270.7378       90.2224        83.2172        92.6360        160.0542       158.6655       159.3598       82.9508        81.3849        82.1679        212.1946       208.5051       210.3505       0.2800         0.5156         9.1492         0.0095         0.1050         12.3621        9.5164         333.9697       
1300.0000      10.7753        0.0000         1.6147         192.0714       58.1041        30.2094        134.8595       16.9788        136.1553       70.8715        60.5747        66.5596        74.8523        70.4387        72.6455        63.4541        61.8498        62.6519        148.4220       143.5376       145.9876       0.1651         0.8624         15.9250        0.0128         0.1924         9.8348         6.7074         292.0584       
1300.0000      10.6786        1.0000         1.6293         201.5728       64.7438        38.8147        145.1863       26.7100        151.6251       73.1557        63.4257        69.4686        84.3246        80.6356        82.4801        65.7510        64.2839        65.0175        156.5610       152.3630       154.4651       0.1879         0.7883         14.4088        0.0113         0.1599         10.1896        7.1149         297.7719       
1300.0000      10.5823        2.0000         1.6442         211.0495       71.3637        47.3851        155.4663       36.3989        167.0143       75.4263        66.2544        72.3653        93.7584        90.6780        92.2182        68.0347        66.6506        67.3426        164.3509       160.6027       162.4779       0.2064         0.7303         13.2496        0.0103         0.1378         10.5213        7.4892         303.1895       
1300.0000      10.4863        3.0000         1.6592         220.5022       77.9644        55.9217        165.7010       46.0466        182.3253       77.6835        69.0614        75.2501        103.1549       100.5782       101.8665       70.3054        68.9651        69.6353        171.8701       168.4044       170.1375       0.2216         0.6836         12.3390        0.0096         0.1228         10.8329        7.8354         308.3572       
1300.0000      10.3906        4.0000         1.6745         229.9316       84.5465        64.4254        175.8916       55.6544        197.5605       79.9279        71.8475        78.1233        112.5152       110.3471       111.4311       72.5636        71.2375        71.9005        179.1731       175.8673       177.5202       0.2345         0.6452         11.6082        0.0092         0.1127         11.1264        8.1576         313.3080       
1300.0000      10.2954        5.0000         1.6900         239.3384       91.1106        72.8971        186.0396       65.2235        212.7220       82.1598        74.6132        80.9853        121.8403       119.9944       120.9173       74.8096        73.4746        74.1421        186.2996       183.0602       184.6799       0.2454         0.6132         11.0114        0.0090         0.1062         11.4037        8.4587         318.0671       
1300.0000      10.2178        6.0000         1.7028         246.9824       96.6073        79.6078        193.7847       72.7365        223.8464       83.6702        76.2465        83.1521        129.1685       127.4768       128.3226       76.3246        74.9608        75.6427        191.2954       188.0268       189.6613       0.2537         0.5895         10.5379        0.0090         0.1042         11.6012        8.6809         321.1735       
1300.0000      10.1403        7.0000         1.7158         254.6167       102.0958       86.3035        201.5100       80.2313        234.9361       85.1747        77.8702        85.3139        136.4805       134.9114       135.6959       77.8339        76.4332        77.1336        196.2038       192.8755       194.5400       0.2611         0.5684         10.1232        0.0091         0.1033         11.7908        8.8930         324.1962       
1300.0000      10.0631        8.0000         1.7290         262.2414       107.5762       92.9845        209.2157       87.7082        245.9918       86.6736        79.4843        87.4708        143.7763       142.3006       143.0385       79.3377        77.8931        78.6154        201.0352       197.6212       199.3286       0.2677         0.5496         9.7575         0.0092         0.1031         11.9730        9.0955         327.1406       
1300.0000      9.9860         9.0000         1.7424         269.8567       113.0486       99.6511        216.9021       95.1676        257.0139       88.1668        81.0891        89.6226        151.0563       149.6463       150.3513       80.8361        79.3415        80.0888        205.7980       202.2760       204.0375       0.2738         0.5327         9.4332         0.0093         0.1036         12.1482        9.2893         330.0115       
1300.0000      9.9090         10.0000        1.7559         277.4626       118.5131       106.3033       224.5695       102.6095       268.0028       89.6544        82.6846        91.7697        158.3208       156.9503       157.6356       82.3290        80.7790        81.5540        210.4994       206.8499       208.6753       0.2794         0.5174         9.1440         0.0095         0.1047         12.3168        9.4750         332.8131       
1400.0000      10.8130        0.0000         1.6091         188.2928       56.0436        27.3405        130.7943       13.5995        129.8785       69.7046        59.0581        65.1614        71.4370        66.6633        69.0501        62.2503        60.5674        61.4089        144.7157       139.4650       142.1012       0.1570         0.8893         16.3889        0.0137         0.2105         9.6849         6.5508         289.0815       
1400.0000      10.7144        1.0000         1.6239         197.9154       62.7800        36.1164        141.3494       23.5376        145.7418       72.0556        62.0178        68.1307        81.0972        77.1313        79.1142        64.6123        63.0986        63.8555        153.1611       148.7370       150.9534       0.1820         0.8071         14.7090        0.0119         0.1714         10.0573        6.9799         295.0824       
1400.0000      10.6163        2.0000         1.6389         207.5108       69.4946        44.8538        151.8532       33.4292        161.5166       74.3916        64.9531        71.0864        90.7151        87.4274        89.0712        66.9597        65.5502        66.2550        161.2135       157.3302       159.2734       0.2020         0.7438         13.4466        0.0106         0.1451         10.4043        7.3721         300.7496       
1400.0000      10.5185        3.0000         1.6541         217.0798       76.1881        53.5541        162.3071       43.2756        177.2054       76.7129        67.8646        74.0289        100.2920       97.5656        98.9288        69.2929        67.9416        68.6172        168.9654       165.4257       167.1959       0.2183         0.6936         12.4683        0.0098         0.1274         10.7292        7.7335         306.1389       
1400.0000      10.4212        4.0000         1.6696         226.6232       82.8612        62.2182        172.7126       53.0781        192.8108       79.0202        70.7530        76.9587        109.8291       107.5585       108.6938       71.6123        70.2851        70.9487        176.4800       173.1416       174.8108       0.2320         0.6527         11.6919        0.0094         0.1155         11.0345        8.0686         311.2897       
1400.0000      10.3242        5.0000         1.6853         236.1417       89.5144        70.8472        183.0712       62.8381        208.3353       81.3137        73.6190        79.8762        119.3275       117.4172       118.3723       73.9183        72.5890        73.2536        183.8024       180.5589       182.1807       0.2435         0.6188         11.0638        0.0091         0.1078         11.3223        8.3809         316.2313       
1400.0000      10.2451        6.0000         1.6983         243.8807       95.0914        77.7031        191.0098       70.5278        219.7965       82.8808        75.3465        82.0925        126.8146       125.0827       125.9487       75.4883        74.1336        74.8110        188.9692       185.7118       187.3407       0.2521         0.5940         10.5710        0.0091         0.1052         11.5280        8.6117         319.4858       
1400.0000      10.1661        7.0000         1.7115         251.6091       100.6594       84.5427        198.9266       78.1976        231.2197       84.4415        77.0634        84.3033        134.2839       132.6947       133.4893       77.0520        75.6631        76.3575        194.0422       190.7363       192.3895       0.2598         0.5720         10.1420        0.0091         0.1038         11.7253        8.8315         322.6490       
1400.0000      10.0873        8.0000         1.7249         259.3269       106.2185       91.3660        206.8219       85.8477        242.6054       85.9959        78.7697        86.5085        141.7354       140.2557       140.9955       78.6096        77.1786        77.8941        199.0328       195.6492       197.3414       0.2667         0.5525         9.7659         0.0092         0.1033         11.9146        9.0412         325.7272       
1400.0000      10.0087        9.0000         1.7384         267.0343       111.7688       98.1735        214.6959       93.4785        253.9542       87.5440        80.4658        88.7084        149.1695       147.7680       148.4688       80.1612        78.6814        79.4213        203.9505       200.4641       202.2078       0.2730         0.5349         9.4339         0.0093         0.1035         12.0963        9.2415         328.7257       
1400.0000      9.9303         10.0000        1.7521         274.7315       117.3104       104.9652       222.5491       101.0902       265.2666       89.0861        82.1517        90.9029        156.5865       155.2340       155.9103       81.7069        80.1723        80.9396        208.8029       205.1922       206.9983       0.2787         0.5191         9.1392         0.0095         0.1044         12.2710        9.4331         331.6493       
1500.0000      10.8506        0.0000         1.6035         184.5131       53.9826        24.4707        126.7277       10.2190        123.5997       68.5373        57.5409        63.7628        68.0206        62.8607        65.4406        61.0461        59.2710        60.1585        140.9672       135.2912       138.1443       0.1482         0.9193         16.9138        0.0148         0.2318         9.5306         6.3883         286.0400       
1500.0000      10.7502        1.0000         1.6185         194.2568       60.8156        33.4171        137.5113       20.3642        139.8567       70.9551        60.6095        66.7923        77.8687        73.6062        75.7375        63.4732        61.9049        62.6891        149.7351       145.0508       147.3991       0.1756         0.8277         15.0430        0.0125         0.1846         9.9217         6.8407         292.3456       
1500.0000      10.6503        2.0000         1.6337         203.9709       67.6249        42.3217        148.2389       30.4585        156.0171       73.3565        63.6513        69.8069        87.6708        84.1609        85.9159        65.8844        64.4445        65.1644        158.0594       154.0207       156.0423       0.1973         0.7585         13.6630        0.0110         0.1534         10.2847        7.2519         298.2737       
1500.0000      10.5508        3.0000         1.6491         213.6562       74.4112        51.1857        158.9120       40.5036        172.0838       75.7420        66.6673        72.8073        97.4281        94.5411        95.9846        68.2801        66.9145        67.5973        166.0497       162.4235       164.2372       0.2148         0.7043         12.6092        0.0101         0.1326         10.6235        7.6292         303.8926       
1500.0000      10.4517        4.0000         1.6647         223.3136       81.1752        60.0103        169.5325       50.5009        188.0595       78.1121        69.6581        75.7937        107.1420       104.7611       105.9516       70.6607        69.3303        69.9955        173.7794       170.4008       172.0902       0.2293         0.6606         11.7827        0.0095         0.1187         10.9411        7.9778         309.2492       
1500.0000      10.3530        5.0000         1.6806         232.9438       87.9176        68.7966        180.1017       60.4518        203.9470       80.4673        72.6245        78.7667        116.8138       114.8336       115.8237       73.0268        71.7016        72.3642        181.3001       178.0475       179.6738       0.2415         0.6248         11.1205        0.0092         0.1097         11.2397        8.3017         314.3777       
1500.0000      10.2723        6.0000         1.6938         240.7779       93.5750        75.7979        188.2339       68.3184        215.7452       82.0911        74.4461        81.0325        124.4599       122.6840       123.5720       74.6517        73.3052        73.9785        186.6393       183.3898       185.0146       0.2505         0.5987         10.6070        0.0091         0.1063         11.4539        8.5414         317.7833       
1500.0000      10.1919        7.0000         1.7072         248.6003       99.2225        82.7812        196.3423       76.1632        227.5019       83.7079        76.2562        83.2923        132.0865       130.4746       131.2805       76.2698        74.8919        75.5809        191.8778       188.5921       190.2352       0.2585         0.5757         10.1628        0.0091         0.1043         11.6589        8.7693         321.0895       
1500.0000      10.1116        8.0000         1.7207         256.4113       104.8602       89.7469        204.4272       83.9866        239.2178       85.3179        78.0549        85.5460        139.6937       138.2085       138.9511       77.8813        76.4633        77.1723        197.0284       193.6735       195.3513       0.2657         0.5554         9.7754         0.0092         0.1035         11.8554        8.9862         324.3034       
