Output data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         20.0763        0.0000         2.3229         154.2055       63.7658        73.8112        93.9124        93.9124        93.9124        62.3747        58.9118        60.6432        153.2054       146.1708       149.7059       0.2343         0.6457         10.2351        0.0286         0.2939         8.6739         6.3583         196.1389       
600.0000       20.1762        0.0000         2.3114         141.1264       59.4501        66.6594        86.6755        86.6755        86.6755        56.3309        53.2036        54.7673        138.9018       132.5001       135.7169       0.2390         0.6319         9.1561         0.0286         0.2939         8.3121         6.1236         186.6496       
1200.0000      20.2886        0.0000         2.2986         126.4223       54.5981        58.6191        78.5395        78.5395        78.5395        49.5363        46.7861        48.1612        122.7930       117.1050       119.9628       0.2454         0.6132         7.8871         0.0286         0.2939         7.8806         5.8453         175.3226       
