Output data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
600.0000       18.7109        8.0000         2.4925         163.0725       85.8649        68.5939        111.6007       111.6007       111.6007       56.5978        52.3319        54.4649        145.2408       135.7734       140.5330       0.2901         2.0490         5.9566         0.0392         0.4076         8.5971         6.6914         184.9384       
1200.0000      18.6276        8.0000         2.5036         135.7594       74.0533        58.8724        94.6220        94.6220        94.6220        47.6646        43.1849        45.4248        122.4355       112.4479       117.4757       0.2931         2.0830         4.9008         0.0493         0.5187         7.8731         6.1477         168.8313       
